x,y,z,success,orient_name,qx,qy,qz,qw,ompl_ms,motion_ms,total_ms
0.2500,-0.3500,0.5500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,44.53,2836.90,2881.43
0.2500,-0.2500,0.5500,1,top_down,0.0000,0.7070,0.0000,0.7070,53.02,2278.90,2331.92
0.2500,-0.1500,0.5500,1,top_down,0.0000,0.7070,0.0000,0.7070,62.70,1438.17,1500.87
0.2500,-0.0500,0.5500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,52.47,2255.01,2307.48
0.3500,-0.3500,0.5500,1,top_down,0.0000,0.7070,0.0000,0.7070,54.49,2036.78,2091.27
0.3500,-0.2500,0.5500,1,top_down,0.0000,0.7070,0.0000,0.7070,166.33,1356.85,1523.18
0.3500,-0.1500,0.5500,1,top_down,0.0000,0.7070,0.0000,0.7070,97.78,781.96,879.74
0.3500,-0.0500,0.5500,1,top_down,0.0000,0.7070,0.0000,0.7070,67.91,775.56,843.47
-0.3500,-0.2500,0.6500,1,front_pos_x,0.0000,0.0000,0.0000,1.0000,52.72,3138.57,3191.29
-0.3500,-0.0500,0.6500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,71.78,1395.54,1467.32
-0.2500,-0.4500,0.6500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,44.22,2963.90,3008.12
-0.2500,-0.3500,0.6500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,29.88,1418.65,1448.54
-0.2500,-0.2500,0.6500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,32.84,1724.85,1757.69
-0.2500,-0.1500,0.6500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,46.66,2101.37,2148.03
-0.1500,-0.5500,0.6500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,51.92,2304.61,2356.53
-0.1500,-0.4500,0.6500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,36.68,1855.64,1892.32
-0.1500,-0.3500,0.6500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,46.48,1437.52,1484.00
-0.1500,-0.2500,0.6500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,48.12,1717.63,1765.75
-0.1500,-0.1500,0.6500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,64.33,2083.59,2147.91
-0.1500,-0.0500,0.6500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,50.92,1557.55,1608.47
-0.1500,0.0500,0.6500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,46.23,1180.36,1226.59
-0.0500,-0.5500,0.6500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,55.32,3036.87,3092.20
-0.0500,-0.4500,0.6500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,30.78,1701.14,1731.92
-0.0500,-0.3500,0.6500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,40.96,1424.24,1465.19
0.0500,-0.4500,0.6500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,63.89,3117.30,3181.19
0.0500,-0.3500,0.6500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,41.99,1418.06,1460.05
0.1500,-0.5500,0.6500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,31.11,2459.95,2491.05
0.1500,-0.4500,0.6500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,37.52,1857.03,1894.55
0.1500,-0.3500,0.6500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,46.76,1701.14,1747.90
0.1500,-0.2500,0.6500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,39.99,1135.60,1175.59
0.1500,-0.1500,0.6500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,81.08,3617.21,3698.29
0.1500,0.0500,0.6500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,54.57,1483.56,1538.14
0.2500,-0.4500,0.6500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,52.13,2260.46,2312.59
0.2500,-0.3500,0.6500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,44.79,1436.63,1481.41
0.2500,-0.2500,0.6500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,22.33,1060.73,1083.06
0.2500,-0.1500,0.6500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,37.81,2118.99,2156.80
0.2500,-0.0500,0.6500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,32.82,2095.65,2128.47
0.3500,-0.3500,0.6500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,50.09,2863.67,2913.76
0.3500,-0.2500,0.6500,1,top_down,0.0000,0.7070,0.0000,0.7070,40.83,2944.11,2984.94
0.3500,-0.1500,0.6500,1,top_down,0.0000,0.7070,0.0000,0.7070,54.90,2681.78,2736.68
0.3500,-0.0500,0.6500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,56.39,2341.68,2398.08
0.3500,0.0500,0.6500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,95.04,1222.73,1317.77
-0.3500,-0.3500,0.7500,1,side_neg_y,0.0000,0.0000,-0.7070,0.7070,63.79,2363.80,2427.59
-0.3500,-0.2500,0.7500,1,side_pos_y,0.0000,0.0000,0.7070,0.7070,45.61,2156.21,2201.82
-0.3500,-0.1500,0.7500,1,front_pos_x,0.0000,0.0000,0.0000,1.0000,35.67,1457.71,1493.38
