x,y,z,success,ik_ms,wait_ms,total_ms
-0.25,-0.15,0.35,0,6.584851998923114,0.0,6.584851998923114
-0.15,-0.35,0.35,0,6.218550999619765,0.0,6.218550999619765
-0.15,-0.25,0.35,0,7.284665000042878,0.0,7.284665000042878
-0.15,-0.05,0.35,0,6.046983999112854,0.0,6.046983999112854
-0.05,-0.35,0.35,0,7.068308997986605,0.0,7.068308997986605
-0.05,-0.25,0.35,0,8.176733997970587,0.0,8.176733997970587
-0.05,-0.15,0.35,0,7.8303640002559405,0.0,7.8303640002559405
0.05,-0.35,0.35,0,6.675681001070188,0.0,6.675681001070188
0.05,-0.25,0.35,0,10.971248000714695,0.0,10.971248000714695
0.05,-0.15,0.35,0,7.019466000201646,0.0,7.019466000201646
0.15,-0.25,0.35,0,6.591821998881642,0.0,6.591821998881642
0.15,-0.05,0.35,0,6.03914800012717,0.0,6.03914800012717
-0.35,-0.15,0.45,0,6.810288999986369,0.0,6.810288999986369
-0.25,-0.35,0.45,0,8.217530998081202,0.0,8.217530998081202
-0.25,-0.25,0.45,0,6.9313370004238095,0.0,6.9313370004238095
-0.15,-0.45,0.45,0,7.079691997205373,0.0,7.079691997205373
-0.15,-0.35,0.45,0,6.4831920026335865,0.0,6.4831920026335865
-0.15,-0.25,0.45,0,11.872544000652852,0.0,11.872544000652852
-0.15,-0.05,0.45,0,9.296410000388278,0.0,9.296410000388278
-0.05,-0.45,0.45,0,10.832230000232812,0.0,10.832230000232812
0.05,-0.45,0.45,0,8.138418997987173,0.0,8.138418997987173
0.05,-0.35,0.45,0,8.878841999830911,0.0,8.878841999830911
0.05,-0.25,0.45,0,6.842105001851451,0.0,6.842105001851451
0.15,-0.45,0.45,0,7.351737000135472,0.0,7.351737000135472
0.25,-0.35,0.45,0,6.220036000740947,0.0,6.220036000740947
0.25,-0.25,0.45,0,6.94826100152568,0.0,6.94826100152568
0.35,-0.15,0.45,0,7.7521200000774115,0.0,7.7521200000774115
-0.35,-0.35,0.55,0,10.017509997851448,0.0,10.017509997851448
-0.35,-0.25,0.55,0,7.767543000227306,0.0,7.767543000227306
-0.35,-0.15,0.55,0,7.144932998926379,0.0,7.144932998926379
-0.35,-0.05,0.55,0,7.181286000559339,0.0,7.181286000559339
-0.25,-0.45,0.55,0,9.904911999910837,0.0,9.904911999910837
-0.25,-0.35,0.55,0,13.641566998558119,0.0,13.641566998558119
-0.25,-0.25,0.55,0,8.62975099880714,0.0,8.62975099880714
-0.25,-0.15,0.55,0,9.445427000173368,0.0,9.445427000173368
-0.25,-0.05,0.55,1,4.866805000347085,0.3837809999822639,5.250586000329349
-0.25,0.05,0.55,1,1.5701750016887672,0.3377009961695876,1.9078759978583548
-0.15,-0.45,0.55,0,9.842250001383945,0.0,9.842250001383945
-0.15,-0.35,0.55,0,11.142282997752773,0.0,11.142282997752773
-0.15,-0.25,0.55,0,10.463633996550925,0.0,10.463633996550925
-0.15,-0.15,0.55,1,2.2669870013487525,0.3284739977971185,2.595460999145871
-0.15,-0.05,0.55,1,1.628904003155185,0.24643699725857005,1.875341000413755
-0.15,0.05,0.55,1,4.884513000433799,0.2622169995447621,5.146729999978561
-0.05,-0.45,0.55,0,10.354898000514368,0.0,10.354898000514368
-0.05,-0.35,0.55,0,10.198117000982165,0.0,10.198117000982165
-0.05,-0.25,0.55,0,10.950436997518409,0.0,10.950436997518409
0.05,-0.45,0.55,0,10.602815000311239,0.0,10.602815000311239
0.05,-0.35,0.55,0,11.22372800091398,0.0,11.22372800091398
0.15,-0.45,0.55,0,12.579875998198986,0.0,12.579875998198986
0.15,-0.35,0.55,0,8.680909999384312,0.0,8.680909999384312
0.15,-0.25,0.55,0,12.011586997687118,0.0,12.011586997687118
0.15,-0.15,0.55,0,8.254262000264134,0.0,8.254262000264134
0.25,-0.45,0.55,0,9.407941000972642,0.0,9.407941000972642
