x,y,z,success,ompl_ms,planned_duration_ms,motion_ms,total_ms,n_waypoints,joint_path_len
0.1363,-0.1317,0.4311,1,42.75,0.00,2795.04,2837.79,0,9.6237
0.1042,-0.2474,0.4311,1,39.61,0.00,2019.75,2059.37,0,3.3334
0.0638,-0.2106,0.4311,1,25.75,0.00,1241.33,1267.08,0,1.9132
0.2330,-0.2919,0.4312,1,32.90,0.00,1615.93,1648.83,0,3.6488
0.0956,-0.1447,0.4312,1,29.57,0.00,1598.18,1627.74,0,2.2532
0.2538,-0.1595,0.4312,1,18.67,0.00,1459.61,1478.28,0,2.6511
0.0682,-0.2610,0.4312,1,41.03,0.00,1616.59,1657.62,0,2.5663
0.0696,-0.2038,0.4312,1,38.30,0.00,1539.68,1577.99,0,2.2818
0.0697,-0.2038,0.4313,1,29.47,0.00,1339.40,1368.87,0,1.9254
0.0850,-0.3079,0.4313,1,40.46,0.00,2418.22,2458.68,0,5.7281
0.2539,-0.1597,0.4313,1,26.36,0.00,1921.22,1947.58,0,2.9563
0.2539,-0.1597,0.4313,1,30.05,0.00,1498.15,1528.20,0,2.1533
0.2539,-0.1597,0.4313,1,38.51,0.00,1238.53,1277.03,0,1.4390
0.2539,-0.1598,0.4313,1,28.40,0.00,1240.02,1268.41,0,1.4159
0.2539,-0.1598,0.4313,1,27.43,0.00,1941.73,1969.16,0,3.5762
0.2539,-0.1598,0.4313,1,34.75,0.00,2202.57,2237.31,0,4.4849
0.2539,-0.1598,0.4313,1,19.69,0.00,319.27,338.95,0,0.0797
0.2539,-0.1598,0.4313,1,23.23,0.00,354.52,377.75,0,0.1205
0.2539,-0.1598,0.4313,1,18.18,0.00,222.34,240.52,0,0.0232
0.2539,-0.1598,0.4313,1,32.50,0.00,1823.53,1856.02,0,3.0371
0.2539,-0.1593,0.4313,1,21.15,0.00,1837.68,1858.84,0,3.0980
0.2539,-0.1584,0.4313,1,30.01,0.00,1798.06,1828.07,0,2.9239
0.2539,-0.1584,0.4313,1,20.40,0.00,237.85,258.25,0,0.0515
0.0738,-0.2575,0.4313,1,44.68,0.00,2043.54,2088.22,0,4.0184
0.1024,-0.2499,0.4313,1,32.45,0.00,1336.33,1368.77,0,2.0316
0.0775,-0.3119,0.4314,1,24.53,0.00,1242.39,1266.92,0,2.3782
0.2540,-0.1597,0.4314,1,44.37,0.00,1364.05,1408.42,0,4.2232
0.0366,-0.2769,0.4314,1,24.73,0.00,1663.36,1688.09,0,2.9479
0.2540,-0.1598,0.4314,1,23.03,0.00,1794.80,1817.83,0,3.3540
0.2540,-0.1598,0.4314,1,31.31,0.00,417.59,448.90,0,0.1361
0.2540,-0.1598,0.4314,1,19.54,0.00,758.39,777.93,0,0.4970
0.2540,-0.1598,0.4314,1,20.73,0.00,317.43,338.16,0,0.0706
0.2540,-0.1598,0.4314,1,26.65,0.00,1241.42,1268.08,0,1.4187
0.2391,-0.2925,0.4314,1,26.58,0.00,1682.87,1709.45,0,3.7365
0.2391,-0.2925,0.4314,1,21.10,0.00,417.22,438.32,0,0.1190
0.2391,-0.2925,0.4314,1,28.22,0.00,1640.67,1668.89,0,2.3987
0.2391,-0.2925,0.4314,1,20.76,0.00,616.54,637.29,0,0.2928
0.2391,-0.2925,0.4314,1,32.39,0.00,516.46,548.85,0,0.2129
0.2391,-0.2925,0.4314,1,28.63,0.00,920.09,948.72,0,0.7255
0.2391,-0.2925,0.4314,1,28.95,0.00,518.63,547.57,0,0.2217
0.2391,-0.2925,0.4314,1,22.51,0.00,636.41,658.92,0,0.3266
0.2391,-0.2925,0.4314,1,21.46,0.00,996.18,1017.64,0,0.8568
0.2391,-0.2925,0.4314,1,20.36,0.00,637.92,658.29,0,0.3250
0.2391,-0.2925,0.4314,1,25.59,0.00,1203.00,1228.59,0,1.2515
0.2391,-0.2925,0.4314,1,17.87,0.00,780.58,798.46,0,0.4755
0.2391,-0.2925,0.4314,1,39.81,0.00,1018.18,1057.99,0,0.8678
0.2391,-0.2925,0.4314,1,22.34,0.00,676.05,698.39,0,0.3610
0.2391,-0.2925,0.4314,1,21.34,0.00,357.01,378.36,0,0.0906
0.2391,-0.2925,0.4314,1,27.41,0.00,1702.10,1729.51,0,2.5254
0.2391,-0.2925,0.4314,1,39.15,0.00,1077.96,1117.11,0,1.0794
0.2391,-0.2925,0.4314,1,25.91,0.00,1343.16,1369.07,0,1.8779
0.2391,-0.2925,0.4314,1,46.46,0.00,2561.26,2607.72,0,5.6247
0.2391,-0.2925,0.4314,1,26.18,0.00,1082.02,1108.20,0,0.9600
0.2391,-0.2925,0.4314,1,21.42,0.00,1517.84,1539.27,0,2.0252
0.2391,-0.2925,0.4314,1,18.84,0.00,499.28,518.12,0,0.2065
0.0614,-0.2147,0.4315,1,33.81,0.00,1665.45,1699.26,0,3.1307
0.2391,-0.2925,0.4315,1,38.84,0.00,1657.99,1696.83,0,3.9558
0.0589,-0.2171,0.4315,1,24.55,0.00,1663.58,1688.13,0,3.9788
0.2392,-0.2925,0.4315,1,30.60,0.00,1639.14,1669.74,0,2.1971
0.1002,-0.2629,0.4315,1,47.72,0.00,1640.21,1687.93,0,4.5111
0.0961,-0.1406,0.4316,1,27.22,0.00,1120.73,1147.95,0,1.9161
0.1021,-0.2511,0.4316,1,27.43,0.00,1402.12,1429.55,0,1.3090
0.0747,-0.2575,0.4316,1,21.02,0.00,515.41,536.43,0,0.2784
0.0386,-0.3548,0.4316,1,33.88,0.00,1082.90,1116.78,0,2.4070
0.2393,-0.2925,0.4316,1,27.70,0.00,1324.63,1352.34,0,2.7203
0.0961,-0.3018,0.4316,1,32.62,0.00,1824.41,1857.02,0,4.3530
0.0748,-0.2575,0.4316,1,37.38,0.00,1440.43,1477.81,0,2.1561
0.0748,-0.2575,0.4316,1,43.19,0.00,1265.77,1308.96,0,1.8075
0.0748,-0.2575,0.4316,1,30.61,0.00,877.82,908.43,0,0.8444
0.0748,-0.2575,0.4316,1,26.95,0.00,1481.07,1508.01,0,2.7184
0.0748,-0.2575,0.4316,1,31.55,0.00,1796.49,1828.04,0,3.8334
0.0748,-0.2575,0.4316,1,36.00,0.00,742.22,778.22,0,0.5291
0.0748,-0.2575,0.4316,1,22.74,0.00,1216.97,1239.71,0,1.7110
0.0748,-0.2576,0.4316,1,30.95,0.00,996.32,1027.27,0,1.1541
0.0748,-0.2576,0.4316,1,37.21,0.00,2142.99,2180.20,0,4.0585
0.0748,-0.2576,0.4316,1,34.58,0.00,841.93,876.51,0,0.4813
0.0748,-0.2576,0.4316,1,17.58,0.00,1941.24,1958.82,0,3.4019
0.0748,-0.2576,0.4316,1,41.37,0.00,1897.30,1938.67,0,4.4887
0.0748,-0.2576,0.4316,1,20.77,0.00,137.11,157.89,0,0.0042
0.1366,-0.1277,0.4317,1,41.20,0.00,1836.81,1878.00,0,2.4267
0.0401,-0.3426,0.4317,1,41.21,0.00,1797.12,1838.33,0,2.7464
0.0749,-0.2576,0.4317,1,36.32,0.00,2022.75,2059.07,0,4.1651
0.0748,-0.2577,0.4317,1,18.89,0.00,579.40,598.29,0,0.3046
0.0748,-0.2577,0.4317,1,29.70,0.00,1239.04,1268.74,0,1.7731
0.0748,-0.2577,0.4317,1,33.53,0.00,685.00,718.53,0,0.5199
0.0748,-0.2577,0.4317,1,25.19,0.00,2362.14,2387.33,0,5.5579
0.0748,-0.2577,0.4317,1,40.87,0.00,1918.86,1959.73,0,3.2160
0.1056,-0.2474,0.4317,1,33.78,0.00,563.12,596.90,0,0.6462
0.0750,-0.2576,0.4317,1,40.30,0.00,1538.75,1579.05,0,2.7141
0.0242,-0.3173,0.4317,1,31.88,0.00,1746.94,1778.82,0,4.2264
0.0787,-0.2912,0.4318,1,30.39,0.00,1474.43,1504.82,0,2.6175
0.1363,-0.1346,0.4318,1,26.28,0.00,1443.62,1469.91,0,2.2210
0.0715,-0.2042,0.4318,1,36.41,0.00,1801.12,1837.53,0,3.4664
0.0987,-0.2661,0.4318,1,44.38,0.00,784.70,829.08,0,1.1398
0.0960,-0.1510,0.4319,1,32.91,0.00,1227.11,1260.03,0,1.4242
0.0572,-0.2204,0.4319,1,29.35,0.00,886.98,916.33,0,1.1682
0.0969,-0.1376,0.4320,1,37.97,0.00,881.25,919.23,0,1.1702
0.1021,-0.2525,0.4320,1,32.48,0.00,1106.20,1138.68,0,1.7706
0.1018,-0.2597,0.4321,1,26.33,0.00,1061.29,1087.62,0,1.3603
0.1066,-0.2474,0.4321,1,34.12,0.00,682.58,716.70,0,0.6750
0.1066,-0.2474,0.4321,1,45.21,0.00,1643.60,1688.81,0,3.2612
0.1067,-0.2474,0.4321,1,29.60,0.00,2079.42,2109.01,0,4.8675
0.1067,-0.2474,0.4321,1,41.52,0.00,2147.71,2189.22,0,5.1073
0.1067,-0.2474,0.4321,1,31.89,0.00,1644.41,1676.30,0,3.2652
0.1067,-0.2474,0.4321,1,25.23,0.00,803.53,828.76,0,0.6959
0.1067,-0.2474,0.4321,1,34.14,0.00,1803.71,1837.85,0,3.5478
0.1067,-0.2474,0.4321,1,31.52,0.00,677.26,708.78,0,0.3728
0.1067,-0.2474,0.4321,1,27.51,0.00,1481.04,1508.54,0,2.3702
0.1067,-0.2474,0.4321,1,35.71,0.00,1682.41,1718.12,0,3.4458
0.1067,-0.2474,0.4321,1,40.81,0.00,1927.11,1967.92,0,4.3835
0.1067,-0.2474,0.4321,1,38.68,0.00,1521.51,1560.19,0,2.1832
0.1067,-0.2474,0.4321,1,28.41,0.00,918.00,946.41,0,0.7140
0.0751,-0.2575,0.4322,1,31.14,0.00,966.52,997.66,0,0.7673
0.1067,-0.2475,0.4322,1,19.53,0.00,1539.21,1558.74,0,2.8753
0.1370,-0.1167,0.4322,1,39.73,0.00,1099.92,1139.65,0,1.6135
0.2530,-0.1507,0.4322,1,30.78,0.00,1327.38,1358.16,0,3.0064
0.0729,-0.2041,0.4322,1,45.22,0.00,1541.03,1586.25,0,3.1012
0.0729,-0.2041,0.4322,1,35.87,0.00,1263.68,1299.55,0,1.9108
0.2530,-0.1508,0.4322,1,35.22,0.00,1622.46,1657.68,0,2.9534
0.2530,-0.1508,0.4322,1,23.31,0.00,1465.44,1488.75,0,2.0391
0.2530,-0.1512,0.4322,1,23.48,0.00,1243.82,1267.30,0,1.4965
