x,y,z,roll,pitch,yaw,success,pos_err_mm,iterations,solve_ms,seed_used
-0.2,-0.55,0.35,0.0,0.0,0.0,0,188.355,700,28.47,-1
-0.2,-0.55,0.45,0.0,0.0,0.0,0,119.9,700,27.4,-1
-0.2,-0.55,0.55,0.0,0.0,0.0,0,64.429,700,27.04,-1
-0.2,-0.55,0.65,0.0,0.0,0.0,0,31.313,700,30.46,-1
-0.2,-0.55,0.75,0.0,0.0,0.0,0,29.196,700,26.21,-1
-0.2,-0.55,0.85,0.0,0.0,0.0,0,64.804,700,26.43,-1
-0.2,-0.45,0.35,0.0,0.0,0.0,0,141.592,700,27.14,-1
-0.2,-0.45,0.45,0.0,0.0,0.0,0,63.133,700,27.26,-1
-0.2,-0.45,0.55,0.0,0.0,0.0,1,1.824,14,0.57,0
-0.2,-0.45,0.65,0.0,0.0,0.0,1,1.432,316,12.1,3
-0.2,-0.45,0.75,0.0,0.0,0.0,1,1.563,9,0.37,0
-0.2,-0.45,0.85,0.0,0.0,0.0,1,2.365,8,0.33,0
-0.2,-0.35,0.35,0.0,0.0,0.0,0,125.49,700,27.1,-1
-0.2,-0.35,0.45,0.0,0.0,0.0,0,33.947,700,28.07,-1
-0.2,-0.35,0.55,0.0,0.0,0.0,1,1.491,223,8.71,2
-0.2,-0.35,0.65,0.0,0.0,0.0,1,2.257,20,0.81,0
-0.2,-0.35,0.75,0.0,0.0,0.0,1,2.67,8,0.34,0
-0.2,-0.35,0.85,0.0,0.0,0.0,1,1.511,8,0.35,0
-0.2,-0.25,0.35,0.0,0.0,0.0,0,125.134,700,27.37,-1
-0.2,-0.25,0.45,0.0,0.0,0.0,0,56.299,700,27.36,-1
-0.2,-0.25,0.55,0.0,0.0,0.0,0,113.393,700,27.49,-1
-0.2,-0.25,0.65,0.0,0.0,0.0,1,4.319,100,3.72,0
-0.2,-0.25,0.75,0.0,0.0,0.0,1,1.757,7,0.31,0
-0.2,-0.25,0.85,0.0,0.0,0.0,1,2.071,7,0.3,0
-0.2,-0.15,0.35,0.0,0.0,0.0,0,184.833,700,27.8,-1
-0.2,-0.15,0.45,0.0,0.0,0.0,0,15.278,700,26.65,-1
-0.2,-0.15,0.55,0.0,0.0,0.0,1,1.469,219,9.01,2
-0.2,-0.15,0.65,0.0,0.0,0.0,1,2.945,113,4.63,1
-0.2,-0.15,0.75,0.0,0.0,0.0,1,1.348,12,0.49,0
-0.2,-0.15,0.85,0.0,0.0,0.0,1,0.839,7,0.29,0
-0.2,-0.05,0.35,0.0,0.0,0.0,0,117.63,700,27.97,-1
-0.2,-0.05,0.45,0.0,0.0,0.0,0,32.35,700,28.11,-1
-0.2,-0.05,0.55,0.0,0.0,0.0,1,1.789,316,12.9,3
-0.2,-0.05,0.65,0.0,0.0,0.0,1,1.98,614,25.0,6
-0.2,-0.05,0.75,0.0,0.0,0.0,1,1.375,11,0.46,0
-0.2,-0.05,0.85,0.0,0.0,0.0,1,1.246,8,0.33,0
-0.1,-0.55,0.35,0.0,0.0,0.0,0,184.517,700,27.85,-1
-0.1,-0.55,0.45,0.0,0.0,0.0,0,117.14,700,26.83,-1
-0.1,-0.55,0.55,0.0,0.0,0.0,0,62.675,700,26.65,-1
-0.1,-0.55,0.65,0.0,0.0,0.0,0,38.87,700,27.44,-1
-0.1,-0.55,0.75,0.0,0.0,0.0,0,24.715,700,26.96,-1
-0.1,-0.55,0.85,0.0,0.0,0.0,0,24.762,700,26.66,-1
-0.1,-0.45,0.35,0.0,0.0,0.0,0,139.818,700,27.24,-1
-0.1,-0.45,0.45,0.0,0.0,0.0,0,62.402,700,27.19,-1
-0.1,-0.45,0.55,0.0,0.0,0.0,1,2.767,119,4.67,1
-0.1,-0.45,0.65,0.0,0.0,0.0,1,3.757,400,15.23,3
-0.1,-0.45,0.75,0.0,0.0,0.0,1,1.696,6,0.26,0
-0.1,-0.45,0.85,0.0,0.0,0.0,1,1.182,8,0.33,0
-0.1,-0.35,0.35,0.0,0.0,0.0,0,116.604,700,27.15,-1
-0.1,-0.35,0.45,0.0,0.0,0.0,0,32.326,700,26.89,-1
-0.1,-0.35,0.55,0.0,0.0,0.0,1,2.59,10,0.41,0
-0.1,-0.35,0.65,0.0,0.0,0.0,0,42.876,700,26.67,-1
-0.1,-0.35,0.75,0.0,0.0,0.0,1,2.518,7,0.3,0
-0.1,-0.35,0.85,0.0,0.0,0.0,1,1.496,7,0.29,0
-0.1,-0.25,0.35,0.0,0.0,0.0,0,90.47,700,27.23,-1
-0.1,-0.25,0.45,0.0,0.0,0.0,0,34.966,700,26.98,-1
-0.1,-0.25,0.55,0.0,0.0,0.0,0,119.767,700,27.82,-1
-0.1,-0.25,0.65,0.0,0.0,0.0,0,46.9,700,27.31,-1
-0.1,-0.25,0.75,0.0,0.0,0.0,1,1.791,6,0.26,0
-0.1,-0.25,0.85,0.0,0.0,0.0,1,1.522,6,0.25,0
-0.1,-0.15,0.35,0.0,0.0,0.0,0,99.727,700,27.18,-1
-0.1,-0.15,0.45,0.0,0.0,0.0,0,50.705,700,27.44,-1
-0.1,-0.15,0.55,0.0,0.0,0.0,1,2.809,310,12.5,3
-0.1,-0.15,0.65,0.0,0.0,0.0,0,139.008,700,28.04,-1
-0.1,-0.15,0.75,0.0,0.0,0.0,0,36.437,700,27.14,-1
-0.1,-0.15,0.85,0.0,0.0,0.0,1,1.818,8,0.33,0
-0.1,-0.05,0.35,0.0,0.0,0.0,0,41.994,700,28.04,-1
-0.1,-0.05,0.45,0.0,0.0,0.0,0,33.493,700,27.38,-1
-0.1,-0.05,0.55,0.0,0.0,0.0,1,2.6,509,20.59,5
-0.1,-0.05,0.65,0.0,0.0,0.0,0,170.432,700,27.94,-1
-0.1,-0.05,0.75,0.0,0.0,0.0,1,1.849,213,8.29,2
-0.1,-0.05,0.85,0.0,0.0,0.0,1,1.704,6,0.27,0
0.0,-0.55,0.35,0.0,0.0,0.0,0,202.315,700,27.3,-1
0.0,-0.55,0.45,0.0,0.0,0.0,0,143.899,700,27.37,-1
0.0,-0.55,0.55,0.0,0.0,0.0,0,53.07,700,27.48,-1
0.0,-0.55,0.65,0.0,0.0,0.0,0,69.745,700,27.22,-1
0.0,-0.55,0.75,0.0,0.0,0.0,0,18.576,700,27.29,-1
0.0,-0.55,0.85,0.0,0.0,0.0,0,22.092,700,26.07,-1
0.0,-0.45,0.35,0.0,0.0,0.0,0,162.057,700,27.35,-1
