t,x,y,z,success,ik_ms,total_ms,dx,dy,dz,robot_ms,setup_ms,loop_ms,iterations,iter_ms,pos_err_mm,track_err_mm,mem_kb,deadline_missed
1778499992.883634,0.25,-0.15,0.5,1,0.7187,0.8444,0.009288,0.003612,-0.001076,0.0006,0.3988,0.3194,2,0.15968,0.2387,0.2387,153964,0
1778499992.934704,0.25,-0.15,0.5,1,0.4819,0.6803,0.013199,0.002035,7.7e-05,0.0008,0.1805,0.3005,1,0.30054,0.2285,0.2285,153984,0
1778499992.984749,0.231037,-0.153109,0.477993,1,0.3494,0.5295,0.015037,0.00039,-8e-06,0.0007,0.1328,0.2159,1,0.2159,1.4469,1.4469,153984,0
1778499993.034968,0.23324,-0.15538,0.477985,1,0.3895,0.5924,0.01724,-0.00188,-1.6e-05,0.0008,0.1473,0.2414,1,0.24138,0.233,0.233,153984,0
1778499993.085057,0.23805,-0.159812,0.478213,1,0.4075,0.9574,0.02205,-0.006313,0.000212,0.0009,0.1457,0.2609,1,0.26087,0.2817,0.2817,153988,0
1778499993.135149,0.239928,-0.161144,0.478331,1,0.4146,0.6008,0.023928,-0.007645,0.000331,0.0007,0.1669,0.2471,1,0.24706,0.2316,0.2316,153992,0
1778499993.185255,0.244164,-0.164329,0.479067,1,0.4288,0.6332,0.028164,-0.01083,0.001067,0.0008,0.1553,0.2727,1,0.27268,0.2766,0.2766,153992,0
1778499993.235358,0.248496,-0.167129,0.479981,1,0.432,0.6118,0.032496,-0.01363,0.00198,0.001,0.1556,0.2754,1,0.27539,0.2911,0.2911,154004,0
1778499993.285736,0.257119,-0.174179,0.48384,1,0.264,0.3928,0.041119,-0.02068,0.00584,0.0005,0.1091,0.1544,1,0.15443,0.4967,0.4967,154004,0
1778499993.335881,0.261837,-0.178671,0.488058,1,0.2601,0.3698,0.045837,-0.025172,0.010058,0.0004,0.1068,0.1529,1,0.15289,0.3649,0.3649,154004,0
1778499993.386078,0.266002,-0.184541,0.492422,1,0.259,0.3731,0.050002,-0.031041,0.014421,0.0004,0.106,0.1526,1,0.15264,0.3861,0.3861,154004,0
1778499993.43619,0.270522,-0.190974,0.497241,1,0.4609,0.6597,0.054522,-0.037475,0.019241,0.0011,0.1557,0.3041,1,0.30412,0.4162,0.4162,154004,0
1778499993.486286,0.279387,-0.203871,0.506994,1,0.4464,0.6524,0.063387,-0.050371,0.028993,0.0008,0.1669,0.2786,1,0.27861,0.8237,0.8237,154004,0
1778499993.536381,0.284729,-0.210258,0.511628,1,0.4024,0.5881,0.068729,-0.056759,0.033627,0.0008,0.1519,0.2496,1,0.24964,0.4856,0.4856,154004,0
1778499993.586455,0.291744,-0.219457,0.515174,1,0.3833,0.5629,0.075744,-0.065958,0.037173,0.0008,0.149,0.2335,1,0.23347,0.6392,0.6392,154008,0
1778499993.636554,0.3,-0.25,0.5,1,0.6203,0.8027,0.084254,-0.073756,0.041868,0.0057,0.1687,0.4459,2,0.22295,0.6379,0.6379,154016,0
1778499993.686663,0.3,-0.25,0.55,1,0.553,0.7438,0.10283,-0.093056,0.048411,0.0008,0.1577,0.3944,2,0.19721,0.4851,0.4851,154020,0
1778499993.736762,0.33196,-0.257616,0.530944,1,0.5688,0.7699,0.11596,-0.104117,0.052943,0.0008,0.1479,0.4201,2,0.21004,0.9337,0.9337,154020,0
1778499993.78686,0.345286,-0.268848,0.535555,1,0.4291,0.6307,0.129286,-0.115349,0.057555,0.001,0.1545,0.2736,1,0.27362,2.0184,2.0184,154020,0
1778499993.837003,0.357675,-0.279196,0.5402,1,0.4721,0.6593,0.141675,-0.125697,0.062199,0.001,0.1703,0.3008,1,0.30079,2.5643,2.5643,154024,0
1778499993.887103,0.35,-0.3,0.55,1,0.4427,0.6402,0.171924,-0.14528,0.073139,0.001,0.1747,0.267,1,0.26704,2.4931,2.4931,154024,0
1778499993.937206,0.4,-0.3,0.6,1,3.7397,4.7971,0.188253,-0.152918,0.079649,0.0008,0.169,3.5699,25,0.1428,5.8855,5.8855,154044,0
