t,x,y,z,success,ik_ms,total_ms,dx,dy,dz,robot_ms,setup_ms,loop_ms,iterations,iter_ms,pos_err_mm,track_err_mm,mem_kb,deadline_missed
1778472440.439349,0.224668,-0.297744,0.534379,1,0.7458,0.8625,0.008668,-0.002518,0.004644,0.0006,0.4862,0.259,1,0.25904,0.2816,0.2816,152300,0
1778472440.479627,0.227107,-0.297734,0.535486,1,0.2709,0.3858,0.011107,-0.002507,0.005752,0.0005,0.1116,0.1588,1,0.1588,0.0737,0.0737,152328,0
1778472440.519936,0.229661,-0.297709,0.536264,1,0.2633,0.3849,0.013661,-0.002482,0.006529,0.0005,0.1091,0.1537,1,0.15366,0.089,0.089,152336,0
1778472440.560112,0.232296,-0.297539,0.536979,1,0.1985,0.2924,0.016296,-0.002312,0.007244,0.0005,0.0743,0.1237,1,0.12371,0.1059,0.1059,152340,0
1778472440.600299,0.235076,-0.297637,0.537857,1,0.2544,0.3617,0.019076,-0.00241,0.008122,0.0005,0.1017,0.1522,1,0.15218,0.125,0.125,152340,0
1778472440.640569,0.238264,-0.297816,0.538878,1,0.5007,0.7235,0.022264,-0.002589,0.009144,0.0005,0.1094,0.3909,1,0.3909,0.1487,0.1487,152352,0
1778472440.680936,0.241241,-0.298065,0.540043,1,0.3858,0.5705,0.025241,-0.002838,0.010309,0.001,0.1434,0.2414,1,0.24139,0.1673,0.1673,152356,0
1778472440.721172,0.244579,-0.298213,0.541495,1,0.4231,0.6073,0.028579,-0.002986,0.01176,0.0009,0.1519,0.2702,1,0.27024,0.1925,0.1925,152368,0
1778472440.762058,0.247909,-0.29828,0.543159,1,0.4131,0.6101,0.031909,-0.003053,0.013425,0.0009,0.1646,0.2476,1,0.24756,0.2114,0.2114,152368,0
1778472440.802539,0.251171,-0.298249,0.545387,1,0.2864,0.4355,0.035171,-0.003023,0.015652,0.0007,0.1198,0.1659,1,0.16594,0.2334,0.2334,152372,0
1778472440.842814,0.254239,-0.29811,0.547547,1,0.275,0.4127,0.038239,-0.002883,0.017813,0.0005,0.1113,0.1632,1,0.16319,0.2491,0.2491,152380,0
1778472440.882958,0.257495,-0.297853,0.549461,1,0.2366,0.3399,0.041495,-0.002626,0.019726,0.0005,0.095,0.1412,1,0.14116,0.267,0.267,152388,0
1778472440.923157,0.261586,-0.297593,0.551414,1,0.2602,0.3697,0.045586,-0.002366,0.02168,0.0004,0.1061,0.1537,1,0.1537,0.296,0.296,152388,0
1778472440.963589,0.265742,-0.297112,0.552832,1,0.4248,0.6273,0.049742,-0.001885,0.023098,0.0009,0.1512,0.2727,1,0.27269,0.3215,0.3215,152392,0
1778472441.003892,0.271276,-0.296392,0.554016,1,0.4026,0.5805,0.055276,-0.001165,0.024281,0.0008,0.1557,0.246,1,0.24604,0.3747,0.3747,152396,0
1778472441.044165,0.276728,-0.295634,0.554746,1,0.5771,0.8101,0.060728,-0.000408,0.025012,0.0011,0.1982,0.3778,1,0.37775,0.4133,0.4133,152396,0
1778472441.084338,0.283711,-0.294644,0.554871,1,0.3895,0.5572,0.067711,0.000583,0.025137,0.0006,0.1431,0.2458,1,0.24576,0.5035,0.5035,152404,0
1778472441.124938,0.290889,-0.294148,0.554792,1,0.4094,0.6056,0.074889,0.001079,0.025058,0.001,0.1598,0.2486,1,0.24864,0.5763,0.5763,152408,0
1778472441.165165,0.297971,-0.293463,0.553594,1,0.4596,1.4542,0.081971,0.001764,0.023859,0.0008,0.1702,0.2886,1,0.28862,0.669,0.669,152416,0
1778472441.205344,0.306066,-0.293151,0.552345,1,0.3918,0.5677,0.090066,0.002076,0.02261,0.0008,0.1519,0.2391,1,0.2391,0.8012,0.8012,152416,0
1778472441.245625,0.313335,-0.293051,0.551099,1,0.9484,1.2042,0.097335,0.002176,0.021365,0.0009,0.7445,0.203,1,0.20304,0.8842,0.8842,152424,0
1778472441.285964,0.319781,-0.29313,0.550594,1,0.3998,0.5867,0.103781,0.002097,0.020859,0.0008,0.1391,0.2599,1,0.25991,0.9436,0.9436,152428,0
1778472441.328791,0.324326,-0.292794,0.550103,1,0.423,0.6213,0.108326,0.002433,0.020369,0.0009,0.149,0.2731,1,0.27313,0.964,0.964,152432,0
1778472441.369158,0.329163,-0.29289,0.549915,1,0.4663,0.6529,0.113163,0.002336,0.020181,0.0009,0.1785,0.287,1,0.28697,1.0548,1.0548,152432,0
1778472441.409498,0.332559,-0.292844,0.549741,1,0.3449,0.5154,0.116559,0.002382,0.020007,0.0006,0.1251,0.2192,1,0.21925,1.079,1.079,152436,0
1778472441.449692,0.3357,-0.292917,0.54921,1,0.4627,0.6609,0.1197,0.00231,0.019476,0.001,0.1751,0.2865,1,0.28654,1.1445,1.1445,152444,0
1778472441.490127,0.339576,-0.293291,0.548573,1,0.4683,0.6881,0.123576,0.001936,0.018839,0.001,0.1819,0.2854,1,0.28543,1.2511,1.2511,152444,0
1778472441.530299,0.342273,-0.293493,0.548123,1,0.4116,0.5839,0.126273,0.001734,0.018388,0.0007,0.1457,0.2651,1,0.26514,1.3017,1.3017,152456,0
1778472441.570642,0.345059,-0.29345,0.547927,1,0.4787,0.7106,0.129059,0.001777,0.018193,0.001,0.1655,0.3122,1,0.31217,1.3679,1.3679,152460,0
1778472441.610929,0.346783,-0.292967,0.547851,1,0.3775,0.5295,0.130783,0.00226,0.018116,0.0007,0.1306,0.2462,1,0.24618,1.401,1.401,152460,0
1778472441.651101,0.348835,-0.292198,0.547238,1,0.3865,0.585,0.132835,0.003029,0.017504,0.001,0.1476,0.238,1,0.23796,1.4663,1.4663,152472,0
1778472441.691259,0.350607,-0.291641,0.547428,1,0.3998,0.5957,0.134607,0.003586,0.017694,0.0008,0.1472,0.2518,1,0.25183,1.5136,1.5136,152476,0
1778472441.731429,0.35209,-0.291353,0.548397,1,0.45,0.6652,0.13609,0.003873,0.018663,0.0009,0.1542,0.2949,1,0.29492,1.5474,1.5474,152476,0
1778472441.771636,0.353605,-0.291183,0.549259,1,0.404,0.5921,0.137605,0.004043,0.019524,0.0006,0.1544,0.249,1,0.24899,1.5842,1.5842,152480,0
1778472441.811793,0.354811,-0.290869,0.549547,1,0.4024,0.6082,0.138811,0.004357,0.019812,0.0008,0.1494,0.2522,1,0.25225,1.6221,1.6221,152488,0
1778472441.85211,0.355491,-0.291015,0.549586,1,0.3923,0.591,0.139491,0.004212,0.019851,0.001,0.1455,0.2459,1,0.24587,1.6531,1.6531,152488,0
1778472441.892287,0.35549,-0.291309,0.549488,1,0.3896,0.5845,0.13949,0.003917,0.019754,0.001,0.1401,0.2484,1,0.24839,1.6659,1.6659,152492,0
1778472441.932529,0.354989,-0.291627,0.5497,1,0.4065,0.5768,0.138989,0.0036,0.019965,0.0008,0.1679,0.2379,1,0.2379,1.6569,1.6569,152496,0
1778472441.972836,0.353851,-0.291977,0.550364,1,0.386,0.5689,0.137851,0.00325,0.02063,0.0008,0.1469,0.2383,1,0.23832,1.6232,1.6232,152500,0
1778472442.013026,0.352827,-0.291924,0.550474,1,0.4065,0.6165,0.136827,0.003302,0.02074,0.0008,0.1676,0.238,1,0.23799,1.5763,1.5763,152500,0
1778472442.053216,0.352133,-0.292072,0.550417,1,0.423,0.5962,0.136133,0.003155,0.020682,0.0008,0.1457,0.2765,1,0.27645,1.5429,1.5429,152516,0
1778472442.093424,0.350826,-0.292162,0.550707,1,0.4589,0.6587,0.134826,0.003065,0.020972,0.001,0.1755,0.2824,1,0.28244,1.5121,1.5121,152528,0
1778472442.133734,0.349024,-0.292126,0.550869,1,0.4186,0.6012,0.133024,0.003101,0.021135,0.0007,0.1612,0.2567,1,0.25675,1.4678,1.4678,152528,0
1778472442.173984,0.347787,-0.292563,0.55084,1,0.4255,0.6103,0.131787,0.002664,0.021106,0.001,0.164,0.2605,1,0.26054,1.4159,1.4159,152532,0
1778472442.214191,0.34731,-0.293889,0.551517,1,0.4117,0.6079,0.13131,0.001338,0.021782,0.0008,0.1587,0.2523,1,0.25233,1.3995,1.3995,152536,0
1778472442.254386,0.347709,-0.295295,0.552757,1,0.408,0.5766,0.131709,-6.8e-05,0.023023,0.0006,0.1494,0.2579,1,0.25792,1.4089,1.4089,152536,0
1778472442.294722,0.34885,-0.296557,0.555303,1,0.4605,0.6424,0.13285,-0.00133,0.025569,0.0009,0.1719,0.2876,1,0.28762,1.4333,1.4333,152540,0
1778472442.335018,0.35078,-0.29701,0.558194,1,0.5072,0.7258,0.13478,-0.001783,0.028459,0.0011,0.183,0.3231,1,0.32312,1.4698,1.4698,152544,0
1778472442.355108,0.35461,-0.295704,0.561988,1,0.3544,1.2369,0.13861,-0.000477,0.032254,0.0006,0.1229,0.231,1,0.23095,1.5501,1.5501,152544,0
1778472442.395555,0.358507,-0.294749,0.565633,1,0.3822,1.2578,0.142507,0.000478,0.035899,0.0009,0.1378,0.2436,1,0.24358,1.6262,1.6262,152552,0
1778472442.43597,0.361217,-0.294195,0.568463,1,0.3873,1.0549,0.145217,0.001032,0.038728,0.0007,0.1437,0.2429,1,0.2429,1.6793,1.6793,152624,0
1778472442.47615,0.363073,-0.293405,0.570793,1,0.3977,1.2185,0.147073,0.001822,0.041059,0.001,0.1536,0.2431,1,0.24311,1.7216,1.7216,152628,0
1778472442.516503,0.36527,-0.292744,0.572697,1,0.4394,0.7307,0.14927,0.002482,0.042963,0.0008,0.1506,0.288,1,0.28803,1.7805,1.7805,152640,0
1778472442.557201,0.35,-0.3,0.55,1,0.4128,0.5991,0.152126,0.002872,0.044025,0.0013,0.1599,0.2515,1,0.25155,2.7559,2.7559,152644,0
1778472442.598872,0.35,-0.3,0.55,1,0.4478,0.6375,0.154151,0.002986,0.044436,0.0009,0.1751,0.2718,1,0.27184,1.6095,1.6095,152648,0
1778472442.639062,0.35,-0.3,0.55,1,0.408,0.5981,0.156942,0.003331,0.044718,0.0008,0.1633,0.2438,1,0.24382,1.6189,1.6189,152648,0
1778472442.679258,0.4,-0.3,0.6,1,24.4424,27.5877,0.160774,0.002923,0.044949,0.0009,0.1699,24.2717,250,0.09709,6.0373,6.0373,152684,1
1778472442.727731,0.4,-0.3,0.6,1,20.9088,23.8726,0.168774,0.002488,0.044726,0.0007,0.1658,20.7422,250,0.08297,6.0332,6.0332,152692,1
1778472442.772394,0.389356,-0.292596,0.57408,1,21.2697,22.3476,0.173356,0.002631,0.044345,0.0007,0.1245,21.1445,250,0.08458,4.2091,4.2091,152692,1
1778472442.795333,0.392403,-0.292458,0.57346,1,9.6402,11.6782,0.176403,0.002769,0.043726,0.0002,0.0474,9.5926,250,0.03837,5.0238,5.0238,152696,0
1778472442.835575,0.393881,-0.292119,0.573176,1,18.9039,20.1229,0.177881,0.003108,0.043442,0.0006,0.1307,18.7726,250,0.07509,5.4822,5.4822,152700,1
1778472442.876742,0.395959,-0.291407,0.573037,1,18.6498,19.5332,0.179959,0.003819,0.043302,0.0008,0.141,18.508,250,0.07403,6.177,6.177,152704,1
1778472442.917183,0.397907,-0.290578,0.572832,1,18.9282,19.8844,0.181907,0.004648,0.043098,0.0009,0.1704,18.7569,250,0.07503,6.9278,6.9278,152708,1
1778472442.958682,0.399144,-0.289394,0.572064,1,19.0562,20.2347,0.183144,0.005833,0.042329,0.0007,0.1521,18.9034,250,0.07561,7.4565,7.4565,152712,1
1778472442.999633,0.4,-0.3,0.6,1,18.4025,21.2747,0.184241,0.006527,0.041273,0.0007,0.1248,18.277,250,0.07311,6.0415,6.0415,152716,1
1778472443.04178,0.4,-0.3,0.6,1,24.0182,27.069,0.183945,0.006786,0.040976,0.001,0.1798,23.8374,250,0.09535,6.0436,6.0436,152720,1
1778472443.08963,0.4,-0.3,0.6,1,20.0441,21.0871,0.18258,0.006978,0.041266,0.0006,0.1274,19.9162,250,0.07966,6.0479,6.0479,152720,1
1778472443.131572,0.4,-0.3,0.6,1,18.5749,19.162,0.18133,0.006739,0.041769,0.0009,0.1387,18.4353,250,0.07374,6.0497,6.0497,152724,0
1778472443.171822,0.4,-0.3,0.6,1,17.6368,20.6592,0.18046,0.006417,0.04239,0.0009,0.1506,17.4853,250,0.06994,6.0515,6.0515,152728,1
1778472443.213202,0.395894,-0.289087,0.572625,1,19.8311,20.8359,0.179894,0.00614,0.042891,0.0007,0.1273,19.703,250,0.07881,5.9046,5.9046,152728,1
1778472443.254752,0.395548,-0.289682,0.573132,1,19.5764,21.0583,0.179548,0.005545,0.043398,0.0008,0.1354,19.4402,250,0.07776,5.7942,5.7942,152732,1
1778472443.276649,0.395246,-0.290125,0.573586,1,9.4989,10.9233,0.179246,0.005102,0.043852,0.0003,0.0563,9.4423,250,0.03777,5.6876,5.6876,152744,0
1778472443.31692,0.394793,-0.290214,0.574014,1,17.7127,18.5198,0.178793,0.005013,0.044279,0.0009,0.1561,17.5558,250,0.07022,5.494,5.494,152744,0
1778472443.357206,0.394654,-0.290098,0.574097,1,17.4874,18.0704,0.178654,0.005129,0.044363,0.0008,0.17,17.3166,250,0.06927,5.4251,5.4251,152748,0
1778472443.397511,0.394341,-0.290084,0.574377,1,18.332,19.8293,0.178341,0.005142,0.044643,0.0006,0.141,18.1904,250,0.07276,5.2936,5.2936,152760,1
1778472443.438051,0.393527,-0.289513,0.574618,1,16.0619,16.8422,0.177527,0.005714,0.044884,0.0007,0.1463,15.9149,250,0.06366,4.9626,4.9626,152760,0
1778472443.478273,0.390783,-0.287469,0.575356,1,19.0241,20.1356,0.174783,0.007758,0.045622,0.0007,0.1314,18.892,250,0.07557,4.0577,4.0577,152764,1
1778472443.518981,0.389847,-0.28694,0.575834,1,18.4967,19.4842,0.173847,0.008287,0.046099,0.0007,0.1388,18.3572,250,0.07343,3.8086,3.8086,152772,0
1778472443.559152,0.389489,-0.28679,0.57623,1,19.1259,22.0919,0.173489,0.008437,0.046495,0.001,0.1576,18.9674,250,0.07587,3.7115,3.7115,152776,1
1778472443.602195,0.389353,-0.286688,0.576367,1,20.0497,20.8314,0.173353,0.008539,0.046633,0.0006,0.1154,19.9336,250,0.07973,3.6742,3.6742,152776,1
1778472443.64363,0.389286,-0.28652,0.57641,1,24.9213,25.7328,0.173286,0.008707,0.046675,0.0005,0.1748,24.7459,250,0.09898,3.6503,3.6503,152780,1
1778472443.68985,0.389112,-0.286203,0.576437,1,19.8031,20.7741,0.173112,0.009024,0.046703,0.0007,0.1492,19.6532,250,0.07861,3.6016,3.6016,152788,1
1778472443.731155,0.389083,-0.285639,0.57611,1,18.6744,21.851,0.173083,0.009588,0.046376,0.0008,0.1473,18.5263,250,0.07411,3.5821,3.5821,152788,1
1778472443.773785,0.4,-0.3,0.6,1,16.9205,18.1378,0.173071,0.010069,0.046283,0.0008,0.1489,16.7708,250,0.06708,6.0544,6.0544,152792,0
1778472443.813969,0.4,-0.3,0.6,1,18.4005,19.5704,0.173135,0.010703,0.046274,0.0011,0.1743,18.2251,250,0.0729,6.0552,6.0552,152804,0
1778472443.854391,0.4,-0.3,0.6,1,20.5598,21.5218,0.173157,0.011576,0.046303,0.0004,0.0691,20.4903,250,0.08196,6.0562,6.0562,152808,1
1778472443.876726,0.391672,-0.2821,0.577706,1,10.4705,11.1548,0.175672,0.013127,0.047972,0.0006,0.0915,10.3784,250,0.04151,3.738,3.738,152808,0
1778472443.916962,0.393684,-0.279946,0.578953,1,20.2556,21.3694,0.177684,0.015281,0.049219,0.0007,0.143,20.112,250,0.08045,3.9147,3.9147,152816,1
1778472443.958944,0.4,-0.3,0.6,1,19.2422,21.9081,0.182217,0.017763,0.050283,0.0009,0.1183,19.123,250,0.07649,6.0648,6.0648,152824,1
1778472444.001454,0.4,-0.25,0.6,1,0.6618,0.8449,0.183648,0.02047,0.051057,0.0008,0.16,0.501,3,0.16699,2.7055,2.7055,152824,0
1778472444.041654,0.400014,-0.271534,0.581304,1,22.117,22.5576,0.184014,0.023693,0.05157,0.0008,0.2199,21.8963,250,0.08759,4.6045,4.6045,152828,1
1778472444.084818,0.400252,-0.267234,0.58173,1,18.9386,19.0472,0.184252,0.027992,0.051996,0.0009,0.1287,18.8091,250,0.07524,4.3283,4.3283,152836,0
