x,y,z,roll,pitch,yaw,success,pos_err_mm,iterations,solve_ms,seed_used
-0.2,-0.7,0.05,0.0,0.0,0.0,0,539.061,700,40.6,-1
-0.2,-0.7,0.15,0.0,0.0,0.0,0,470.468,700,38.54,-1
-0.2,-0.7,0.25,0.0,0.0,0.0,0,365.737,700,37.56,-1
-0.2,-0.7,0.35,0.0,0.0,0.0,0,305.517,700,36.78,-1
-0.2,-0.7,0.45,0.0,0.0,0.0,0,253.441,700,36.94,-1
-0.2,-0.7,0.55,0.0,0.0,0.0,0,212.705,700,36.38,-1
-0.2,-0.7,0.65,0.0,0.0,0.0,0,215.168,700,36.44,-1
-0.2,-0.7,0.75,0.0,0.0,0.0,0,165.146,700,36.36,-1
-0.2,-0.7,0.85,0.0,0.0,0.0,0,180.156,700,36.07,-1
-0.2,-0.7,0.95,0.0,0.0,0.0,0,228.362,700,35.89,-1
-0.2,-0.6,0.05,0.0,0.0,0.0,0,418.105,700,36.7,-1
-0.2,-0.6,0.15,0.0,0.0,0.0,0,336.768,700,36.12,-1
-0.2,-0.6,0.25,0.0,0.0,0.0,0,249.727,700,36.26,-1
-0.2,-0.6,0.35,0.0,0.0,0.0,0,217.144,700,41.73,-1
-0.2,-0.6,0.45,0.0,0.0,0.0,0,154.545,700,40.78,-1
-0.2,-0.6,0.55,0.0,0.0,0.0,0,105.383,700,41.27,-1
-0.2,-0.6,0.65,0.0,0.0,0.0,0,77.452,700,41.23,-1
-0.2,-0.6,0.75,0.0,0.0,0.0,0,70.698,700,40.86,-1
-0.2,-0.6,0.85,0.0,0.0,0.0,0,113.173,700,40.61,-1
-0.2,-0.6,0.95,0.0,0.0,0.0,0,154.598,700,41.17,-1
-0.2,-0.5,0.05,0.0,0.0,0.0,0,380.109,700,42.27,-1
-0.2,-0.5,0.15,0.0,0.0,0.0,0,302.971,700,41.99,-1
-0.2,-0.5,0.25,0.0,0.0,0.0,0,240.022,700,41.7,-1
-0.2,-0.5,0.35,0.0,0.0,0.0,0,162.368,700,41.41,-1
-0.2,-0.5,0.45,0.0,0.0,0.0,0,89.029,700,39.36,-1
-0.2,-0.5,0.55,0.0,0.0,0.0,0,26.246,700,40.78,-1
-0.2,-0.5,0.65,0.0,0.0,0.0,1,2.425,41,2.45,0
-0.2,-0.5,0.75,0.0,0.0,0.0,1,0.77,8,0.5,0
-0.2,-0.5,0.85,0.0,0.0,0.0,1,3.865,100,5.61,0
-0.2,-0.5,0.95,0.0,0.0,0.0,0,39.372,700,40.4,-1
-0.2,-0.4,0.05,0.0,0.0,0.0,0,396.467,700,39.86,-1
-0.2,-0.4,0.15,0.0,0.0,0.0,0,317.669,700,41.49,-1
-0.2,-0.4,0.25,0.0,0.0,0.0,0,246.383,700,41.6,-1
-0.2,-0.4,0.35,0.0,0.0,0.0,0,126.207,700,39.16,-1
-0.2,-0.4,0.45,0.0,0.0,0.0,0,43.581,700,41.03,-1
-0.2,-0.4,0.55,0.0,0.0,0.0,1,2.116,417,24.92,4
-0.2,-0.4,0.65,0.0,0.0,0.0,1,2.496,311,16.15,3
-0.2,-0.4,0.75,0.0,0.0,0.0,1,1.623,11,0.69,0
-0.2,-0.4,0.85,0.0,0.0,0.0,1,0.639,10,0.61,0
-0.2,-0.4,0.95,0.0,0.0,0.0,1,0.882,10,0.62,0
-0.2,-0.3,0.05,0.0,0.0,0.0,0,347.127,700,41.83,-1
-0.2,-0.3,0.15,0.0,0.0,0.0,0,310.721,700,41.57,-1
-0.2,-0.3,0.25,0.0,0.0,0.0,0,184.448,700,39.62,-1
-0.2,-0.3,0.35,0.0,0.0,0.0,0,123.459,700,40.77,-1
-0.2,-0.3,0.45,0.0,0.0,0.0,0,48.763,700,38.6,-1
-0.2,-0.3,0.55,0.0,0.0,0.0,0,112.268,700,41.62,-1
-0.2,-0.3,0.65,0.0,0.0,0.0,0,33.69,700,39.6,-1
-0.2,-0.3,0.75,0.0,0.0,0.0,1,1.208,7,0.36,0
-0.2,-0.3,0.85,0.0,0.0,0.0,1,1.723,8,0.41,0
-0.2,-0.3,0.95,0.0,0.0,0.0,1,1.097,7,0.36,0
-0.2,-0.2,0.05,0.0,0.0,0.0,0,373.177,700,42.21,-1
-0.2,-0.2,0.15,0.0,0.0,0.0,0,271.511,700,41.73,-1
-0.2,-0.2,0.25,0.0,0.0,0.0,0,260.98,700,38.68,-1
-0.2,-0.2,0.35,0.0,0.0,0.0,0,130.38,700,41.31,-1
-0.2,-0.2,0.45,0.0,0.0,0.0,0,19.008,700,40.59,-1
-0.2,-0.2,0.55,0.0,0.0,0.0,1,1.574,221,11.6,2
-0.2,-0.2,0.65,0.0,0.0,0.0,1,2.414,112,6.82,1
-0.2,-0.2,0.75,0.0,0.0,0.0,1,1.988,8,0.51,0
