x,y,z,roll,pitch,yaw,success,pos_err_mm,iterations,solve_ms,seed_used
-0.2,-0.5,0.35,0.0,0.0,0.0,0,162.368,700,40.6,-1
-0.2,-0.5,0.45,0.0,0.0,0.0,0,89.029,700,36.43,-1
-0.2,-0.5,0.55,0.0,0.0,0.0,0,26.246,700,35.64,-1
-0.2,-0.5,0.65,0.0,0.0,0.0,1,2.425,41,2.11,0
-0.2,-0.5,0.75,0.0,0.0,0.0,1,0.77,8,0.42,0
-0.2,-0.5,0.85,0.0,0.0,0.0,1,3.865,100,4.81,0
-0.2,-0.5,0.95,0.0,0.0,0.0,0,39.372,700,35.33,-1
-0.2,-0.4,0.35,0.0,0.0,0.0,0,126.218,700,36.52,-1
-0.2,-0.4,0.45,0.0,0.0,0.0,0,43.581,700,35.85,-1
-0.2,-0.4,0.55,0.0,0.0,0.0,1,2.116,417,21.47,4
-0.2,-0.4,0.65,0.0,0.0,0.0,1,2.496,311,15.7,3
-0.2,-0.4,0.75,0.0,0.0,0.0,1,1.623,11,0.58,0
-0.2,-0.4,0.85,0.0,0.0,0.0,1,0.639,10,0.53,0
-0.2,-0.4,0.95,0.0,0.0,0.0,1,0.882,10,0.52,0
-0.2,-0.3,0.35,0.0,0.0,0.0,0,123.459,700,35.46,-1
-0.2,-0.3,0.45,0.0,0.0,0.0,0,48.763,700,34.87,-1
-0.2,-0.3,0.55,0.0,0.0,0.0,0,112.268,700,35.64,-1
-0.2,-0.3,0.65,0.0,0.0,0.0,0,33.69,700,44.12,-1
-0.2,-0.3,0.75,0.0,0.0,0.0,1,1.208,7,0.93,0
-0.2,-0.3,0.85,0.0,0.0,0.0,1,1.723,8,0.98,0
-0.2,-0.3,0.95,0.0,0.0,0.0,1,1.097,7,0.85,0
-0.2,-0.2,0.35,0.0,0.0,0.0,0,130.38,700,28.64,-1
-0.2,-0.2,0.45,0.0,0.0,0.0,0,19.008,700,27.29,-1
-0.2,-0.2,0.55,0.0,0.0,0.0,1,1.574,221,8.98,2
-0.2,-0.2,0.65,0.0,0.0,0.0,1,2.414,112,4.5,1
-0.2,-0.2,0.75,0.0,0.0,0.0,1,1.988,8,0.34,0
-0.2,-0.2,0.85,0.0,0.0,0.0,1,0.988,7,0.3,0
-0.2,-0.2,0.95,0.0,0.0,0.0,1,2.4,6,0.25,0
-0.2,-0.1,0.35,0.0,0.0,0.0,0,101.236,700,27.41,-1
-0.2,-0.1,0.45,0.0,0.0,0.0,0,20.154,700,26.96,-1
-0.2,-0.1,0.55,0.0,0.0,0.0,1,2.509,117,4.73,1
-0.2,-0.1,0.65,0.0,0.0,0.0,0,221.549,700,28.71,-1
-0.2,-0.1,0.75,0.0,0.0,0.0,1,1.766,10,0.42,0
-0.2,-0.1,0.85,0.0,0.0,0.0,1,2.261,7,0.29,0
-0.2,-0.1,0.95,0.0,0.0,0.0,1,0.849,7,0.29,0
-0.1,-0.5,0.35,0.0,0.0,0.0,0,159.784,700,27.49,-1
-0.1,-0.5,0.45,0.0,0.0,0.0,0,87.302,700,27.46,-1
-0.1,-0.5,0.55,0.0,0.0,0.0,0,26.164,700,27.26,-1
-0.1,-0.5,0.65,0.0,0.0,0.0,0,46.495,700,27.08,-1
-0.1,-0.5,0.75,0.0,0.0,0.0,1,2.33,110,4.31,1
-0.1,-0.5,0.85,0.0,0.0,0.0,1,2.414,8,0.33,0
-0.1,-0.5,0.95,0.0,0.0,0.0,0,10.49,700,26.74,-1
-0.1,-0.4,0.35,0.0,0.0,0.0,0,125.226,700,27.05,-1
-0.1,-0.4,0.45,0.0,0.0,0.0,0,43.675,700,27.4,-1
-0.1,-0.4,0.55,0.0,0.0,0.0,1,2.611,112,4.34,1
-0.1,-0.4,0.65,0.0,0.0,0.0,1,2.439,313,12.11,3
-0.1,-0.4,0.75,0.0,0.0,0.0,1,2.082,7,0.3,0
-0.1,-0.4,0.85,0.0,0.0,0.0,1,0.669,8,0.33,0
-0.1,-0.4,0.95,0.0,0.0,0.0,1,2.771,11,0.47,0
-0.1,-0.3,0.35,0.0,0.0,0.0,0,71.887,700,27.45,-1
-0.1,-0.3,0.45,0.0,0.0,0.0,0,29.268,700,27.15,-1
-0.1,-0.3,0.55,0.0,0.0,0.0,0,115.832,700,27.29,-1
-0.1,-0.3,0.65,0.0,0.0,0.0,0,40.768,700,26.87,-1
-0.1,-0.3,0.75,0.0,0.0,0.0,1,2.089,7,0.3,0
-0.1,-0.3,0.85,0.0,0.0,0.0,1,0.928,8,0.33,0
-0.1,-0.3,0.95,0.0,0.0,0.0,1,0.494,8,0.33,0
-0.1,-0.2,0.35,0.0,0.0,0.0,0,38.074,700,27.56,-1
-0.1,-0.2,0.45,0.0,0.0,0.0,0,44.346,700,27.46,-1
-0.1,-0.2,0.55,0.0,0.0,0.0,0,26.83,700,27.71,-1
-0.1,-0.2,0.65,0.0,0.0,0.0,0,93.352,700,28.09,-1
-0.1,-0.2,0.75,0.0,0.0,0.0,0,28.731,700,27.36,-1
-0.1,-0.2,0.85,0.0,0.0,0.0,1,1.341,8,0.34,0
-0.1,-0.2,0.95,0.0,0.0,0.0,1,0.581,9,0.36,0
-0.1,-0.1,0.35,0.0,0.0,0.0,0,34.33,700,27.62,-1
-0.1,-0.1,0.45,0.0,0.0,0.0,0,31.843,700,27.7,-1
-0.1,-0.1,0.55,0.0,0.0,0.0,1,2.501,309,12.48,3
-0.1,-0.1,0.65,0.0,0.0,0.0,0,186.405,700,27.98,-1
-0.1,-0.1,0.75,0.0,0.0,0.0,0,24.486,700,26.77,-1
-0.1,-0.1,0.85,0.0,0.0,0.0,1,2.367,8,0.33,0
-0.1,-0.1,0.95,0.0,0.0,0.0,1,2.901,9,0.37,0
0.0,-0.5,0.35,0.0,0.0,0.0,0,179.895,700,27.53,-1
0.0,-0.5,0.45,0.0,0.0,0.0,0,119.48,700,27.18,-1
0.0,-0.5,0.55,0.0,0.0,0.0,0,94.276,700,27.53,-1
0.0,-0.5,0.65,0.0,0.0,0.0,0,62.006,700,26.75,-1
0.0,-0.5,0.75,0.0,0.0,0.0,1,0.697,105,4.2,1
0.0,-0.5,0.85,0.0,0.0,0.0,1,0.982,13,0.52,0
0.0,-0.5,0.95,0.0,0.0,0.0,1,4.132,100,3.73,0
0.0,-0.4,0.35,0.0,0.0,0.0,0,149.4,700,27.32,-1
0.0,-0.4,0.45,0.0,0.0,0.0,0,87.811,700,27.53,-1
0.0,-0.4,0.55,0.0,0.0,0.0,0,63.107,700,26.89,-1
0.0,-0.4,0.65,0.0,0.0,0.0,1,1.605,6,0.26,0
0.0,-0.4,0.75,0.0,0.0,0.0,1,0.972,6,0.25,0
0.0,-0.4,0.85,0.0,0.0,0.0,1,2.174,13,0.52,0
0.0,-0.4,0.95,0.0,0.0,0.0,1,0.546,9,0.36,0
0.0,-0.3,0.35,0.0,0.0,0.0,0,141.26,700,27.4,-1
0.0,-0.3,0.45,0.0,0.0,0.0,0,80.304,700,27.32,-1
0.0,-0.3,0.55,0.0,0.0,0.0,0,75.387,700,27.16,-1
0.0,-0.3,0.65,0.0,0.0,0.0,1,1.557,4,0.18,0
0.0,-0.3,0.75,0.0,0.0,0.0,1,0.87,4,0.18,0
0.0,-0.3,0.85,0.0,0.0,0.0,1,0.492,13,0.51,0
0.0,-0.3,0.95,0.0,0.0,0.0,1,0.755,9,0.36,0
0.0,-0.2,0.35,0.0,0.0,0.0,0,197.97,700,27.43,-1
0.0,-0.2,0.45,0.0,0.0,0.0,0,133.915,700,27.38,-1
0.0,-0.2,0.55,0.0,0.0,0.0,0,105.991,700,28.22,-1
0.0,-0.2,0.65,0.0,0.0,0.0,0,88.604,700,27.26,-1
0.0,-0.2,0.75,0.0,0.0,0.0,0,79.415,700,26.59,-1
0.0,-0.2,0.85,0.0,0.0,0.0,0,19.257,700,26.03,-1
0.0,-0.2,0.95,0.0,0.0,0.0,1,0.605,6,0.31,0
0.0,-0.1,0.35,0.0,0.0,0.0,0,154.862,700,27.91,-1
0.0,-0.1,0.45,0.0,0.0,0.0,0,94.491,700,27.72,-1
0.0,-0.1,0.55,0.0,0.0,0.0,0,69.754,700,27.72,-1
0.0,-0.1,0.65,0.0,0.0,0.0,0,183.568,700,27.99,-1
0.0,-0.1,0.75,0.0,0.0,0.0,0,74.672,700,27.01,-1
0.0,-0.1,0.85,0.0,0.0,0.0,1,2.161,6,0.26,0
0.0,-0.1,0.95,0.0,0.0,0.0,1,1.181,6,0.25,0
0.1,-0.5,0.35,0.0,0.0,0.0,0,230.903,700,27.46,-1
0.1,-0.5,0.45,0.0,0.0,0.0,0,166.034,700,27.58,-1
0.1,-0.5,0.55,0.0,0.0,0.0,0,100.475,700,27.48,-1
0.1,-0.5,0.65,0.0,0.0,0.0,0,29.627,700,27.29,-1
0.1,-0.5,0.75,0.0,0.0,0.0,1,2.014,8,0.33,0
0.1,-0.5,0.85,0.0,0.0,0.0,1,0.426,10,0.4,0
0.1,-0.5,0.95,0.0,0.0,0.0,0,10.565,700,26.57,-1
0.1,-0.4,0.35,0.0,0.0,0.0,0,151.749,700,27.24,-1
0.1,-0.4,0.45,0.0,0.0,0.0,0,149.628,700,27.26,-1
0.1,-0.4,0.55,0.0,0.0,0.0,0,111.738,700,27.53,-1
0.1,-0.4,0.65,0.0,0.0,0.0,0,40.73,700,27.52,-1
0.1,-0.4,0.75,0.0,0.0,0.0,1,1.451,8,0.33,0
0.1,-0.4,0.85,0.0,0.0,0.0,1,0.652,7,0.29,0
0.1,-0.4,0.95,0.0,0.0,0.0,1,0.584,7,0.29,0
0.1,-0.3,0.35,0.0,0.0,0.0,0,227.627,700,27.45,-1
0.1,-0.3,0.45,0.0,0.0,0.0,0,65.474,700,27.63,-1
0.1,-0.3,0.55,0.0,0.0,0.0,0,85.26,700,27.75,-1
0.1,-0.3,0.65,0.0,0.0,0.0,0,46.379,700,27.13,-1
0.1,-0.3,0.75,0.0,0.0,0.0,1,1.631,8,0.33,0
0.1,-0.3,0.85,0.0,0.0,0.0,1,0.886,5,0.21,0
0.1,-0.3,0.95,0.0,0.0,0.0,1,0.32,6,0.25,0
0.1,-0.2,0.35,0.0,0.0,0.0,0,222.34,700,27.89,-1
0.1,-0.2,0.45,0.0,0.0,0.0,0,190.042,700,28.19,-1
0.1,-0.2,0.55,0.0,0.0,0.0,0,135.836,700,27.98,-1
0.1,-0.2,0.65,0.0,0.0,0.0,0,58.791,700,28.71,-1
