t,x,y,z,success,ik_ms,total_ms,dx,dy,dz,robot_ms,setup_ms,loop_ms,iterations,iter_ms,pos_err_mm,track_err_mm,mem_kb,deadline_missed
1778465515.553597,0.222526,-0.292944,0.537094,1,1.6439,1.8771,0.006526,0.002283,0.00736,0.0013,1.0475,0.5952,1,0.59517,1.1171,1.1171,116556,0
1778465515.60375,0.229562,-0.292849,0.540925,1,0.4322,0.614,0.013562,0.002378,0.011191,0.0014,0.1548,0.2761,1,0.27606,0.2281,0.2281,116580,0
1778465515.653917,0.233754,-0.292455,0.542801,1,0.4276,0.6218,0.017754,0.002772,0.013067,0.0015,0.1575,0.2686,1,0.26864,0.1222,0.1222,116584,0
1778465515.704177,0.238381,-0.292967,0.544914,1,0.4249,0.6215,0.022381,0.002259,0.015179,0.0013,0.164,0.2597,1,0.25967,0.1591,0.1591,116584,0
1778465515.754265,0.242552,-0.293075,0.54687,1,0.4153,0.5985,0.026552,0.002152,0.017136,0.0011,0.1503,0.2639,1,0.2639,0.1769,0.1769,116584,0
1778465515.804363,0.25155,-0.293234,0.550201,1,0.4368,0.6491,0.03555,0.001993,0.020466,0.0012,0.1685,0.2672,1,0.26715,0.3663,0.3663,116584,0
1778465515.854465,0.255283,-0.292382,0.55149,1,0.4289,0.6169,0.039283,0.002845,0.021756,0.0013,0.1507,0.2769,1,0.27693,0.2472,0.2472,116596,0
1778465515.904557,0.258907,-0.292144,0.552697,1,0.4072,0.6733,0.042907,0.003082,0.022963,0.0009,0.1467,0.2596,1,0.25957,0.2723,0.2723,116596,0
1778465515.954655,0.262178,-0.291602,0.554075,1,0.4352,0.6875,0.046178,0.003625,0.024341,0.0015,0.1687,0.265,1,0.26498,0.2931,0.2931,116608,0
1778465516.004736,0.268247,-0.291384,0.557102,1,0.4527,0.7165,0.052247,0.003842,0.027367,0.0012,0.1685,0.2831,1,0.2831,0.3733,0.3733,116608,0
1778465516.054842,0.270216,-0.290335,0.558691,1,0.5913,0.794,0.054216,0.004891,0.028956,0.0011,0.1904,0.3998,1,0.39977,0.341,0.341,116608,0
1778465516.104948,0.271786,-0.28955,0.560454,1,0.4947,0.6855,0.055786,0.005677,0.030719,0.0014,0.1587,0.3345,1,0.33455,0.3493,0.3493,116608,0
1778465516.155051,0.273745,-0.289231,0.562091,1,0.491,0.6784,0.057745,0.005996,0.032357,0.0011,0.1611,0.3287,1,0.32874,0.3596,0.3596,116612,0
1778465516.205089,0.27839,-0.287754,0.563696,1,0.4747,0.6606,0.06239,0.007473,0.033961,0.0013,0.1579,0.3155,1,0.31551,0.4017,0.4017,116612,0
1778465516.255205,0.281353,-0.28727,0.564148,1,0.5161,1.3781,0.065353,0.007957,0.034414,0.0015,0.1718,0.3429,1,0.34287,0.4108,0.4108,116612,0
1778465516.305297,0.283629,-0.286655,0.564465,1,0.5116,0.6935,0.067629,0.008572,0.034731,0.0013,0.1556,0.3547,1,0.35471,0.4261,0.4261,116612,0
1778465516.355406,0.285784,-0.285953,0.564774,1,0.4863,1.1776,0.069784,0.009274,0.03504,0.0011,0.1391,0.3462,1,0.34619,0.4419,0.4419,116624,0
1778465516.405494,0.292008,-0.28462,0.565939,1,0.4734,0.6614,0.076008,0.010607,0.036205,0.0015,0.1532,0.3187,1,0.31866,0.5243,0.5243,116628,0
1778465516.455588,0.296181,-0.283746,0.566824,1,0.491,1.3345,0.080181,0.01148,0.03709,0.0012,0.2242,0.2656,1,0.26558,0.5328,0.5328,116628,0
1778465516.505674,0.302546,-0.28291,0.567757,1,0.4434,1.1589,0.086546,0.012317,0.038023,0.0011,0.1331,0.3092,1,0.30925,0.6229,0.6229,116628,0
1778465516.555777,0.30966,-0.282179,0.568482,1,0.4616,1.2521,0.09366,0.013048,0.038748,0.0012,0.1978,0.2626,1,0.26259,0.7155,0.7155,116632,0
1778465516.605844,0.326043,-0.28046,0.569608,1,0.4678,1.1694,0.110043,0.014767,0.039873,0.001,0.2097,0.257,1,0.25705,1.4954,1.4954,116636,0
1778465516.655997,0.33571,-0.27956,0.569975,1,0.4279,1.1086,0.11971,0.015666,0.040241,0.0013,0.1551,0.2715,1,0.27152,1.2108,1.2108,116636,0
1778465516.706724,0.346304,-0.278214,0.570273,1,0.2885,0.5587,0.130304,0.017013,0.040539,0.0008,0.113,0.1747,1,0.17466,1.4747,1.4747,116636,0
1778465516.756888,0.356415,-0.275438,0.570191,1,0.4068,0.591,0.140415,0.019789,0.040457,0.001,0.1547,0.2511,1,0.25112,1.718,1.718,116640,0
1778465516.807063,0.37666,-0.267535,0.572307,1,0.5681,0.7518,0.16066,0.027691,0.042573,0.0017,0.148,0.4185,2,0.20923,2.1092,2.1092,116652,0
1778465516.859146,0.386225,-0.263194,0.574245,1,0.4247,0.625,0.170225,0.032033,0.044511,0.0012,0.1475,0.2761,1,0.27606,2.8665,2.8665,116652,0
1778465516.909254,0.39732,-0.258554,0.576047,1,22.3697,25.4172,0.18132,0.036673,0.046313,0.0012,0.1643,22.2042,250,0.08882,3.804,3.804,116664,0
1778465516.959356,0.408175,-0.254816,0.577583,1,20.7167,24.1697,0.192175,0.040411,0.047849,0.0013,0.155,20.5604,250,0.08224,6.3487,6.3487,116664,0
1778465517.009433,0.408175,-0.254816,0.577583,0,20.7325,24.0639,0.215769,0.046976,0.05053,0.0009,0.1085,20.6231,250,0.08249,22.6073,22.6073,116664,0
1778465517.059537,0.408175,-0.254816,0.577583,0,20.5699,23.4367,0.227176,0.049241,0.051892,0.001,0.1408,20.4281,250,0.08171,32.3422,32.3422,116664,0
1778465517.109635,0.408175,-0.254816,0.577583,0,23.697,24.8048,0.239374,0.052261,0.053309,0.0004,0.1084,23.5881,250,0.09435,42.8131,42.8131,116676,0
1778465517.159776,0.408175,-0.254816,0.577583,0,25.79,29.3432,0.250661,0.055796,0.054497,0.0014,0.1592,25.6295,250,0.10252,52.5258,52.5258,116684,0
1778465517.210123,0.408175,-0.254816,0.577583,0,25.1363,25.9482,0.270019,0.064548,0.055829,0.0008,0.1624,24.9731,250,0.09989,69.1087,69.1087,116684,0
1778465517.260196,0.408175,-0.254816,0.577583,0,18.9307,19.6401,0.279452,0.069381,0.055922,0.0014,0.1248,18.8045,250,0.07522,77.3762,77.3762,116696,0
1778465517.310307,0.408175,-0.254816,0.577583,0,22.0485,23.0694,0.288783,0.074351,0.055229,0.0011,0.2143,21.8331,250,0.08733,85.7866,85.7866,116696,0
1778465517.360699,0.408175,-0.254816,0.577583,0,21.6196,22.7163,0.304629,0.082472,0.053648,0.0009,0.129,21.4896,250,0.08596,203.9245,203.9245,116696,0
