x,y,z,roll,pitch,yaw,success,pos_err_mm,iterations,solve_ms,seed_used
-0.2,-0.5,0.35,0.0,0.0,0.0,0,162.368,700,39.37,-1
-0.2,-0.5,0.4,0.0,0.0,0.0,0,124.792,700,36.51,-1
-0.2,-0.5,0.45,0.0,0.0,0.0,0,89.029,700,36.61,-1
-0.2,-0.5,0.5,0.0,0.0,0.0,0,55.799,700,35.45,-1
-0.2,-0.5,0.55,0.0,0.0,0.0,0,26.246,700,41.77,-1
-0.2,-0.5,0.6,0.0,0.0,0.0,1,2.888,23,0.95,0
-0.2,-0.5,0.65,0.0,0.0,0.0,1,2.425,41,1.64,0
-0.2,-0.5,0.7,0.0,0.0,0.0,1,2.194,7,0.3,0
-0.2,-0.5,0.75,0.0,0.0,0.0,1,0.77,8,0.33,0
-0.2,-0.5,0.8,0.0,0.0,0.0,1,2.452,9,0.37,0
-0.2,-0.5,0.85,0.0,0.0,0.0,1,3.865,100,3.75,0
-0.2,-0.5,0.9,0.0,0.0,0.0,0,35.988,700,27.13,-1
-0.2,-0.45,0.35,0.0,0.0,0.0,0,141.592,700,27.67,-1
-0.2,-0.45,0.4,0.0,0.0,0.0,0,101.734,700,27.21,-1
-0.2,-0.45,0.45,0.0,0.0,0.0,0,63.133,700,47.34,-1
-0.2,-0.45,0.5,0.0,0.0,0.0,0,26.364,700,36.02,-1
-0.2,-0.45,0.55,0.0,0.0,0.0,1,1.824,14,0.74,0
-0.2,-0.45,0.6,0.0,0.0,0.0,1,2.703,17,0.89,0
-0.2,-0.45,0.65,0.0,0.0,0.0,1,1.432,316,16.36,3
-0.2,-0.45,0.7,0.0,0.0,0.0,1,2.492,8,0.49,0
-0.2,-0.45,0.75,0.0,0.0,0.0,1,1.563,9,0.54,0
-0.2,-0.45,0.8,0.0,0.0,0.0,1,0.866,8,0.43,0
-0.2,-0.45,0.85,0.0,0.0,0.0,1,2.365,8,0.43,0
-0.2,-0.45,0.9,0.0,0.0,0.0,1,0.45,14,0.72,0
-0.2,-0.4,0.35,0.0,0.0,0.0,0,126.218,700,36.91,-1
-0.2,-0.4,0.4,0.0,0.0,0.0,0,84.543,700,37.38,-1
-0.2,-0.4,0.45,0.0,0.0,0.0,0,43.581,700,37.38,-1
-0.2,-0.4,0.5,0.0,0.0,0.0,1,3.944,100,5.11,0
-0.2,-0.4,0.55,0.0,0.0,0.0,1,2.116,417,22.84,4
-0.2,-0.4,0.6,0.0,0.0,0.0,1,1.78,515,27.55,5
-0.2,-0.4,0.65,0.0,0.0,0.0,1,2.496,311,16.5,3
-0.2,-0.4,0.7,0.0,0.0,0.0,1,1.625,10,0.6,0
-0.2,-0.4,0.75,0.0,0.0,0.0,1,1.623,11,0.65,0
-0.2,-0.4,0.8,0.0,0.0,0.0,1,1.599,8,0.53,0
-0.2,-0.4,0.85,0.0,0.0,0.0,1,0.639,10,0.61,0
-0.2,-0.4,0.9,0.0,0.0,0.0,1,2.869,9,0.48,0
-0.2,-0.35,0.35,0.0,0.0,0.0,0,125.49,700,36.96,-1
-0.2,-0.35,0.4,0.0,0.0,0.0,0,69.362,700,36.58,-1
-0.2,-0.35,0.45,0.0,0.0,0.0,0,33.947,700,37.2,-1
-0.2,-0.35,0.5,0.0,0.0,0.0,1,0.688,10,0.57,0
-0.2,-0.35,0.55,0.0,0.0,0.0,1,1.491,223,11.85,2
-0.2,-0.35,0.6,0.0,0.0,0.0,1,1.835,514,27.58,5
-0.2,-0.35,0.65,0.0,0.0,0.0,1,2.257,20,1.08,0
-0.2,-0.35,0.7,0.0,0.0,0.0,1,1.609,9,0.51,0
-0.2,-0.35,0.75,0.0,0.0,0.0,1,2.67,8,0.45,0
-0.2,-0.35,0.8,0.0,0.0,0.0,1,0.694,8,0.47,0
-0.2,-0.35,0.85,0.0,0.0,0.0,1,1.511,8,0.5,0
-0.2,-0.35,0.9,0.0,0.0,0.0,1,1.043,9,0.49,0
-0.2,-0.3,0.35,0.0,0.0,0.0,0,123.459,700,36.98,-1
-0.2,-0.3,0.4,0.0,0.0,0.0,0,112.091,700,36.47,-1
-0.2,-0.3,0.45,0.0,0.0,0.0,0,48.763,700,36.21,-1
-0.2,-0.3,0.5,0.0,0.0,0.0,1,1.088,10,0.55,0
-0.2,-0.3,0.55,0.0,0.0,0.0,0,112.268,700,37.45,-1
-0.2,-0.3,0.6,0.0,0.0,0.0,1,1.855,116,6.2,1
-0.2,-0.3,0.65,0.0,0.0,0.0,0,33.69,700,41.04,-1
-0.2,-0.3,0.7,0.0,0.0,0.0,1,1.637,9,0.62,0
-0.2,-0.3,0.75,0.0,0.0,0.0,1,1.208,7,0.45,0
-0.2,-0.3,0.8,0.0,0.0,0.0,1,2.072,7,0.45,0
-0.2,-0.3,0.85,0.0,0.0,0.0,1,1.723,8,0.5,0
-0.2,-0.3,0.9,0.0,0.0,0.0,1,0.846,8,0.49,0
-0.2,-0.25,0.35,0.0,0.0,0.0,0,125.124,700,40.76,-1
-0.2,-0.25,0.4,0.0,0.0,0.0,0,74.853,700,41.06,-1
-0.2,-0.25,0.45,0.0,0.0,0.0,0,56.299,700,40.86,-1
-0.2,-0.25,0.5,0.0,0.0,0.0,1,1.664,14,0.93,0
-0.2,-0.25,0.55,0.0,0.0,0.0,0,113.393,700,41.84,-1
-0.2,-0.25,0.6,0.0,0.0,0.0,1,2.965,114,6.81,1
-0.2,-0.25,0.65,0.0,0.0,0.0,1,4.319,100,5.73,0
