t,x,y,z,success,ik_ms,total_ms,dx,dy,dz,robot_ms,setup_ms,loop_ms,iterations,iter_ms,pos_err_mm,track_err_mm,mem_kb,deadline_missed
1778466265.114327,0.253784,-0.309495,0.530524,1,2.0054,2.3656,0.037784,-0.014268,0.00079,0.0012,1.1415,0.8627,2,0.43136,0.3131,0.3131,116260,0
1778466265.134416,0.254168,-0.308914,0.527373,1,0.423,0.6066,0.038168,-0.013688,-0.002361,0.0016,0.1506,0.2708,1,0.2708,0.3087,0.3087,116276,0
1778466265.174597,0.253672,-0.307914,0.526212,1,0.4168,0.5935,0.037672,-0.012687,-0.003522,0.001,0.1457,0.27,1,0.27,0.2916,0.2916,116292,0
1778466265.214773,0.253894,-0.307468,0.524832,1,0.4163,0.5997,0.037894,-0.012241,-0.004902,0.0014,0.144,0.271,1,0.27096,0.2951,0.2951,116300,0
1778466265.255028,0.254939,-0.307104,0.522984,1,0.4492,0.651,0.038939,-0.011877,-0.00675,0.0012,0.156,0.292,1,0.29202,0.3143,0.3143,116304,0
1778466265.295264,0.255493,-0.30708,0.522665,1,0.422,1.1382,0.039493,-0.011854,-0.007069,0.0015,0.1658,0.2547,1,0.25467,0.3136,0.3136,116308,0
1778466270.348904,0.253954,-0.304827,0.523402,1,0.2699,0.3775,-0.00123,0.002231,0.000689,0.0007,0.1019,0.1673,1,0.16729,0.3219,0.3219,116692,0
1778466270.389376,0.254172,-0.304866,0.523535,1,0.3357,0.4946,-0.001012,0.002192,0.000822,0.0008,0.1295,0.2054,1,0.20539,0.2998,0.2998,116700,0
1778466273.419778,0.250238,-0.298678,0.527126,1,0.3745,0.5288,-0.003637,0.006188,0.003548,0.0011,0.139,0.2343,1,0.23432,0.3894,0.3894,116888,0
1778466273.459953,0.24985,-0.298298,0.527437,1,0.4334,0.6327,-0.004025,0.006568,0.003859,0.0009,0.1548,0.2777,1,0.2777,0.2482,0.2482,116892,0
1778466273.500117,0.249466,-0.29792,0.527615,1,0.4181,0.6016,-0.004409,0.006946,0.004037,0.0012,0.1571,0.2598,1,0.25975,0.2445,0.2445,116892,0
1778466273.540437,0.249008,-0.297554,0.527645,1,0.4444,0.63,-0.004867,0.007312,0.004067,0.0014,0.1603,0.2826,1,0.28265,0.2407,0.2407,116892,0
1778466273.560538,0.248573,-0.297264,0.527722,1,0.3759,0.5504,-0.005302,0.007602,0.004144,0.0011,0.1274,0.2474,1,0.24737,0.237,0.237,116892,0
1778466273.601371,0.248151,-0.296975,0.527824,1,0.4334,0.6254,-0.005723,0.00789,0.004246,0.0013,0.1504,0.2816,1,0.2816,0.2334,0.2334,116892,0
1778466273.642282,0.247672,-0.29672,0.527948,1,0.5131,0.7254,-0.006203,0.008145,0.00437,0.0015,0.1537,0.3579,1,0.35786,0.2296,0.2296,116904,0
1778466273.682473,0.246815,-0.296621,0.528479,1,0.4398,0.6407,-0.00706,0.008244,0.004901,0.0011,0.1548,0.2838,1,0.28384,0.2224,0.2224,116904,0
1778466273.722744,0.244921,-0.296968,0.529782,1,0.4343,0.6207,-0.008954,0.007897,0.006204,0.0097,0.1616,0.263,1,0.26301,0.2017,0.2017,116904,0
1778466273.762925,0.242134,-0.297877,0.531705,1,0.4511,0.6604,-0.011741,0.006989,0.008127,0.0017,0.1678,0.2816,1,0.28157,0.1736,0.1736,116904,0
1778466273.803119,0.239463,-0.299529,0.533464,1,0.3911,0.568,-0.014412,0.005336,0.009886,0.0014,0.1392,0.2505,1,0.25051,0.1409,0.1409,116908,0
1778466273.843314,0.238045,-0.300946,0.53398,1,0.4893,0.704,-0.01583,0.00392,0.010402,0.0015,0.1737,0.3141,1,0.31406,0.1476,0.1476,116908,0
1778466273.88359,0.237975,-0.301196,0.533188,1,0.4176,0.5954,-0.0159,0.00367,0.00961,0.0013,0.1464,0.2699,1,0.26991,0.1666,0.1666,116908,0
1778466273.924033,0.238155,-0.300969,0.532537,1,0.4285,0.6213,-0.01572,0.003896,0.008959,0.0015,0.1571,0.2699,1,0.26985,0.1653,0.1653,116908,0
1778466273.96423,0.2384,-0.300371,0.532159,1,0.4418,0.6394,-0.015475,0.004495,0.008581,0.0014,0.1702,0.2702,1,0.27023,0.1661,0.1661,116912,0
1778466274.004428,0.238762,-0.299545,0.531452,1,0.4102,0.5827,-0.015112,0.00532,0.007874,0.0012,0.1443,0.2647,1,0.26474,0.1687,0.1687,116912,0
1778466274.044837,0.239118,-0.29887,0.530639,1,0.4451,0.6291,-0.014757,0.005995,0.007061,0.0015,0.1688,0.2748,1,0.27479,0.173,0.173,116912,0
1778466274.085103,0.239297,-0.298727,0.530339,1,0.4368,0.65,-0.014578,0.006138,0.006761,0.0011,0.1625,0.2732,1,0.27321,0.1741,0.1741,116916,0
1778466274.125391,0.239515,-0.298663,0.529953,1,0.4274,1.1903,-0.01436,0.006203,0.006375,0.0015,0.1549,0.271,1,0.27101,0.1768,0.1768,116916,0
1778466274.165823,0.239632,-0.298608,0.529596,1,0.4094,3.7505,-0.014243,0.006258,0.006018,0.0014,0.1439,0.2641,1,0.26409,0.1782,0.1782,116920,0
1778466274.206272,0.239834,-0.298674,0.529389,1,0.3996,0.5707,-0.014041,0.006192,0.005812,0.0014,0.1383,0.2599,1,0.2599,0.1794,0.1794,116932,0
1778466274.246658,0.240125,-0.298692,0.529105,1,0.3616,0.5127,-0.01375,0.006173,0.005527,0.0011,0.1248,0.2357,1,0.23573,0.1818,0.1818,116936,0
