run,seed_idx,dt,target_x,target_y,target_z,success,pos_err_mm,robot_ms,setup_ms,loop_ms,solve_ms,iterations,iter_ms,cpu_time_ms,mem_kb,j1,j2,j3,j4,j5,j6,j7
180,0,0.01,0.216,-0.2952,0.5297,1,0.0002,4.838,0.06,0.18,5.077,1,0.17972,0.0,661612,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
181,0,0.01,0.216,-0.2952,0.5297,1,0.0002,4.958,0.045,0.14,5.142,1,0.13958,10.0,664660,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
182,0,0.01,0.216,-0.2952,0.5297,1,0.0002,4.818,0.044,0.138,4.999,1,0.13767,10.0,667700,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
183,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.207,0.046,0.15,5.402,1,0.14979,0.0,670740,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
184,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.152,0.046,0.143,5.34,1,0.14268,10.0,673784,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
185,0,0.01,0.216,-0.2952,0.5297,1,0.0002,4.739,0.04,0.135,4.914,1,0.13506,0.0,676832,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
186,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.214,0.042,0.179,5.435,1,0.17859,10.0,679876,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
187,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.191,0.047,0.148,5.387,1,0.14803,0.0,682912,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
188,0,0.01,0.216,-0.2952,0.5297,1,0.0002,4.758,0.04,0.12,4.918,1,0.12033,10.0,685960,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
189,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.287,0.042,0.13,5.459,1,0.13027,0.0,689000,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
190,0,0.01,0.216,-0.2952,0.5297,1,0.0002,4.881,0.039,0.124,5.043,1,0.12355,10.0,692048,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
191,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.25,0.069,0.19,5.509,1,0.18986,0.0,695092,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
192,0,0.01,0.216,-0.2952,0.5297,1,0.0002,4.77,0.045,0.131,4.946,1,0.13099,10.0,698132,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
193,0,0.01,0.216,-0.2952,0.5297,1,0.0002,4.896,0.057,0.159,5.113,1,0.15946,10.0,701176,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
194,0,0.01,0.216,-0.2952,0.5297,1,0.0002,4.819,0.043,0.136,4.998,1,0.1362,0.0,704212,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
195,0,0.01,0.216,-0.2952,0.5297,1,0.0002,4.903,0.045,0.146,5.094,1,0.14581,0.0,707260,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
196,0,0.01,0.216,-0.2952,0.5297,1,0.0002,4.727,0.04,0.135,4.902,1,0.1355,10.0,710304,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
197,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.191,0.048,0.213,5.452,1,0.21344,0.0,713340,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
198,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.212,0.055,0.16,5.427,1,0.15951,10.0,716380,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
199,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.499,0.066,0.186,5.75,1,0.1856,10.0,719420,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
200,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.409,0.054,0.157,5.621,1,0.15748,10.0,722460,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
201,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.478,0.053,0.142,5.673,1,0.14236,0.0,725512,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
202,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.452,0.059,0.161,5.672,1,0.16117,10.0,728552,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
203,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.507,0.053,0.162,5.722,1,0.16166,0.0,731592,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
204,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.484,0.051,0.154,5.689,1,0.15404,0.0,734644,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
205,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.443,0.055,0.167,5.665,1,0.16692,10.0,737676,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
206,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.543,0.049,0.147,5.739,1,0.14744,0.0,740720,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
207,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.454,0.052,0.163,5.669,1,0.16267,10.0,743760,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
208,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.345,0.046,0.142,5.533,1,0.14193,10.0,746808,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
209,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.395,0.054,0.206,5.654,1,0.20567,10.0,749852,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
210,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.788,0.055,0.147,5.99,1,0.14705,0.0,752892,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
211,0,0.01,0.216,-0.2952,0.5297,1,0.0002,5.783,0.05,0.146,5.98,1,0.14622,10.0,755936,-0.0,0.699916,-0.000111,1.570759,-0.000216,-0.000184,6e-05
