t,x,y,z,success,ik_ms,total_ms,dx,dy,dz,robot_ms,setup_ms,loop_ms,iterations,iter_ms,pos_err_mm,track_err_mm,mem_kb,deadline_missed
1778465385.964405,0.228682,-0.294658,0.534717,1,0.9433,1.152,0.012682,0.000569,0.004982,0.0004,0.3999,0.5429,1,0.5429,0.5087,0.5087,116616,0
1778465386.01451,0.230397,-0.294109,0.534659,1,0.4252,0.6206,0.014397,0.001117,0.004924,0.0011,0.1505,0.2736,1,0.27356,0.0869,0.0869,116636,0
1778465386.064615,0.231115,-0.293002,0.534237,1,0.5078,0.7163,0.015115,0.002224,0.004503,0.0011,0.1694,0.3373,1,0.33729,0.0949,0.0949,116648,0
1778465386.114714,0.230864,-0.291149,0.533873,1,0.5105,0.7204,0.014864,0.004078,0.004139,0.0013,0.1977,0.3115,1,0.31147,0.0981,0.0981,116648,0
1778465386.164865,0.229656,-0.287517,0.532566,1,0.4164,0.6066,0.013656,0.00771,0.002832,0.0014,0.1582,0.2568,1,0.25682,0.116,0.116,116648,0
1778465386.215057,0.229534,-0.286982,0.531453,1,0.5352,0.7333,0.013534,0.008244,0.001719,0.001,0.1651,0.3691,1,0.36908,0.0909,0.0909,116648,0
1778465386.265251,0.229673,-0.286385,0.530586,1,0.4517,1.1913,0.013673,0.008842,0.000851,0.0013,0.1666,0.2838,1,0.28384,0.0934,0.0934,116648,0
1778465386.315346,0.230093,-0.286141,0.529797,1,0.495,0.6769,0.014093,0.009086,6.3e-05,0.0012,0.1621,0.3316,1,0.33163,0.0976,0.0976,116656,0
1778465386.365498,0.232343,-0.285918,0.531612,1,0.4531,1.3242,0.016343,0.009309,0.001878,0.0011,0.153,0.299,1,0.29904,0.1209,0.1209,116660,0
1778465386.415598,0.233792,-0.286174,0.534075,1,0.4409,0.6173,0.017792,0.009053,0.004341,0.0014,0.1575,0.282,1,0.28204,0.126,0.126,116668,0
1778465386.465703,0.235589,-0.286987,0.537173,1,0.4827,0.6743,0.019589,0.00824,0.007439,0.0012,0.1587,0.3229,1,0.32288,0.1407,0.1407,116676,0
1778465386.515809,0.238831,-0.289161,0.542748,1,0.4623,1.2726,0.022831,0.006065,0.013014,0.0013,0.1723,0.2887,1,0.28871,0.2065,0.2065,116680,0
1778465386.565904,0.246396,-0.294064,0.554375,1,0.4623,1.3561,0.030396,0.001162,0.02464,0.001,0.167,0.2943,1,0.29426,0.5389,0.5389,116680,0
1778465386.616649,0.251489,-0.297246,0.561394,1,0.4807,0.6551,0.035489,-0.002019,0.031659,0.0009,0.1609,0.3189,1,0.31888,0.3367,0.3367,116680,0
1778465386.666866,0.257386,-0.300322,0.56955,1,0.4269,0.6192,0.041386,-0.005095,0.039815,0.0009,0.1644,0.2615,1,0.26155,0.4099,0.4099,116680,0
1778465386.717117,0.262175,-0.301956,0.578143,1,0.4276,0.6217,0.046175,-0.006729,0.048408,0.0011,0.1573,0.2691,1,0.26914,0.416,0.416,116680,0
