t,x,y,z,success,ik_ms,total_ms,tx,ty,tz,robot_ms,setup_ms,loop_ms,iterations,iter_ms,pos_err_mm,track_err_mm,mem_kb,deadline_missed
1778498835.556218,0.224973,-0.311153,0.563324,1,0.4159,0.6078,0.219928,-0.313144,0.569235,0.0006,0.1497,0.2657,1,0.26567,1.2112,1.2112,117984,0
1778498835.60634,0.225125,-0.310063,0.562174,1,0.4277,0.6217,0.22008,-0.312054,0.568085,0.0008,0.1548,0.2722,1,0.27215,1.3093,1.3093,117984,0
1778498835.656448,0.22562,-0.307881,0.56039,1,0.4727,0.702,0.220575,-0.309872,0.566301,0.0008,0.1701,0.3018,1,0.30184,1.3376,1.3376,117988,0
1778498835.706684,0.227213,-0.30361,0.556313,1,0.4298,0.6413,0.222168,-0.305601,0.562224,0.0009,0.1665,0.2624,1,0.26241,1.2946,1.2946,117988,0
1778498835.756798,0.227598,-0.301814,0.554206,1,0.4242,0.6123,0.222553,-0.303805,0.560116,0.0008,0.1626,0.2608,1,0.26078,1.1604,1.1604,117992,0
1778498835.80692,0.227225,-0.300221,0.552147,1,0.4222,0.6225,0.22218,-0.302212,0.558058,0.0013,0.1567,0.2642,1,0.26421,1.1244,1.1244,117996,0
1778498835.857019,0.226272,-0.298767,0.55008,1,0.5324,0.7529,0.221227,-0.300758,0.55599,0.0007,0.174,0.3577,1,0.35766,1.1265,1.1265,117996,0
1778498835.907134,0.223302,-0.296159,0.544358,1,0.439,0.6415,0.218257,-0.29815,0.550268,0.0007,0.1687,0.2696,1,0.2696,1.1032,1.1032,117996,0
1778498835.957235,0.221823,-0.294581,0.539956,1,0.4932,0.709,0.216778,-0.296572,0.545867,0.0006,0.1753,0.3173,1,0.31726,1.1687,1.1687,117996,0
1778498836.007338,0.220278,-0.293054,0.534053,1,0.4481,0.6286,0.215233,-0.295045,0.539964,0.0007,0.1638,0.2835,1,0.2835,1.1209,1.1209,117996,0
1778498836.057452,0.218083,-0.290191,0.528495,1,0.4423,0.7586,0.213038,-0.292182,0.534406,0.001,0.162,0.2793,1,0.2793,0.9662,0.9662,118000,0
1778498836.107591,0.211457,-0.280697,0.517278,1,0.2955,0.4114,0.206413,-0.282689,0.523189,0.0007,0.1165,0.1783,1,0.17833,0.6088,0.6088,118004,0
1778498836.157714,0.208228,-0.275369,0.512851,1,0.5863,0.8672,0.203183,-0.27736,0.518762,0.0003,0.2112,0.3749,1,0.37488,0.4694,0.4694,118004,0
1778498836.20782,0.204377,-0.270278,0.508528,1,0.489,0.6721,0.199332,-0.272269,0.514439,0.0006,0.1563,0.3322,1,0.33215,0.3787,0.3787,118016,0
1778498836.257913,0.19907,-0.265232,0.50537,1,0.4859,0.742,0.194025,-0.267224,0.511281,0.0007,0.2186,0.2666,1,0.26662,0.3778,0.3778,118016,0
1778498836.308001,0.187679,-0.258004,0.501977,1,0.5036,0.77,0.182634,-0.259995,0.507888,0.0007,0.2396,0.2632,1,0.26324,0.5834,0.5834,118016,0
1778498836.358102,0.181721,-0.255383,0.501746,1,0.4609,0.7339,0.176676,-0.257374,0.507657,0.0013,0.1723,0.2874,1,0.28738,0.4838,0.4838,118016,0
1778498836.408273,0.17537,-0.252081,0.501497,1,0.5332,0.7331,0.170325,-0.254073,0.507408,0.001,0.1696,0.3626,1,0.36258,0.4173,0.4173,118016,0
1778498836.458359,0.170276,-0.249232,0.50258,1,0.4567,0.7155,0.165232,-0.251223,0.508491,0.0005,0.1706,0.2856,1,0.28564,0.4353,0.4353,118020,0
1778498836.50845,0.166095,-0.244573,0.507174,1,0.5167,0.6913,0.16105,-0.246564,0.513084,0.0007,0.1632,0.3528,1,0.35284,0.39,0.39,118020,0
1778498836.558559,0.163263,-0.242819,0.508185,1,0.7037,0.9159,0.158219,-0.24481,0.514096,0.002,0.1929,0.5088,1,0.50882,0.5734,0.5734,119372,0
1778498836.608654,0.158709,-0.24414,0.508938,1,0.4823,0.6908,0.153664,-0.246131,0.514848,0.0007,0.1591,0.3225,1,0.32251,0.6966,0.6966,119388,0
1778498836.658749,0.15383,-0.245209,0.510207,1,0.4717,0.6628,0.148785,-0.2472,0.516118,0.0006,0.1425,0.3286,1,0.32857,0.579,0.579,119388,0
1778498836.708847,0.144595,-0.245153,0.509756,1,0.5352,0.7297,0.139551,-0.247145,0.515666,0.0009,0.1697,0.3646,1,0.36456,0.5599,0.5599,119388,0
1778498836.75894,0.141435,-0.244699,0.508359,1,0.535,0.7468,0.13639,-0.24669,0.51427,0.0006,0.15,0.3844,1,0.38445,0.9077,0.9077,119388,0
1778498836.809043,0.139748,-0.244106,0.507111,1,0.522,0.7317,0.134703,-0.246097,0.513021,0.0007,0.2293,0.292,1,0.292,1.0732,1.0732,119400,0
1778498836.859145,0.139449,-0.243859,0.507033,1,0.4898,0.7004,0.134404,-0.245851,0.512943,0.001,0.2185,0.2703,1,0.27027,1.1767,1.1767,119400,0
1778498836.909241,0.141251,-0.245334,0.508377,1,0.5048,0.6947,0.136206,-0.247325,0.514288,0.0008,0.2221,0.2819,1,0.28193,1.4342,1.4342,119404,0
1778498836.959339,0.142142,-0.245514,0.509128,1,0.4995,0.6853,0.137098,-0.247505,0.515038,0.001,0.2111,0.2873,1,0.28733,1.4068,1.4068,119404,0
1778498837.009437,0.142613,-0.245515,0.509658,1,0.4908,0.7007,0.137568,-0.247506,0.515569,0.0009,0.1709,0.319,1,0.31902,1.4272,1.4272,119404,0
1778498837.059542,0.142744,-0.245536,0.509896,1,0.4483,0.6561,0.137699,-0.247527,0.515807,0.0007,0.1777,0.2699,1,0.26988,1.4336,1.4336,119404,0
1778498837.109638,0.143051,-0.245526,0.509953,1,0.5264,0.7248,0.138006,-0.247518,0.515864,0.0009,0.1637,0.3617,1,0.36172,1.438,1.438,119408,0
1778498837.15984,0.143291,-0.245846,0.509791,1,0.4283,0.614,0.138247,-0.247837,0.515702,0.0007,0.1514,0.2762,1,0.27622,1.4444,1.4444,119412,0
1778498837.209952,0.143437,-0.246218,0.509681,1,0.4345,1.0966,0.138393,-0.248209,0.515592,0.0015,0.1592,0.2738,1,0.27377,1.4568,1.4568,119416,0
1778498837.260169,0.143536,-0.246599,0.509665,1,0.4057,1.2686,0.138492,-0.24859,0.515576,0.0008,0.1521,0.2528,1,0.25278,1.4844,1.4844,119416,0
1778498837.310297,0.143814,-0.247544,0.509457,1,0.4734,3.4347,0.138769,-0.249535,0.515368,0.0013,0.1793,0.2928,1,0.2928,1.5624,1.5624,119420,0
1778498837.360391,0.144003,-0.248401,0.509336,1,0.4579,0.6729,0.138958,-0.250392,0.515247,0.0007,0.1693,0.2879,1,0.28786,1.623,1.623,119420,0
1778498837.410505,0.144348,-0.24956,0.509438,1,0.4607,0.6482,0.139304,-0.251551,0.515349,0.0008,0.1737,0.2861,1,0.28615,1.7345,1.7345,119424,0
1778498837.460548,0.145335,-0.25148,0.510004,1,0.4227,0.9413,0.14029,-0.253471,0.515915,0.0006,0.1505,0.2716,1,0.27159,1.9537,1.9537,119424,0
1778498837.510646,0.150895,-0.257279,0.511023,1,0.495,1.5996,0.145851,-0.259271,0.516934,0.0006,0.1716,0.3228,1,0.32281,2.7339,2.7339,119428,0
1778498837.561136,0.155534,-0.260266,0.510753,1,0.4305,0.7534,0.150489,-0.262257,0.516663,0.0006,0.1594,0.2706,1,0.27056,2.6308,2.6308,119428,0
1778498837.611508,0.161508,-0.263207,0.509214,1,0.4724,0.9137,0.156464,-0.265198,0.515125,0.0006,0.1488,0.323,1,0.32303,2.5259,2.5259,119432,0
1778498837.661662,0.167989,-0.265655,0.506757,1,0.4716,0.6766,0.162944,-0.267646,0.512668,0.0006,0.1904,0.2806,1,0.28061,2.0946,2.0946,119432,0
1778498837.712024,0.180606,-0.271862,0.500057,1,0.468,0.6724,0.175562,-0.273853,0.505968,0.0009,0.1621,0.305,1,0.30504,2.287,2.287,119436,0
1778498837.762131,0.187503,-0.276272,0.494875,1,0.4325,0.6388,0.182458,-0.278263,0.500786,0.0009,0.1622,0.2694,1,0.26942,1.1071,1.1071,119436,0
1778498837.812225,0.195301,-0.279535,0.488647,1,0.4252,0.6265,0.190256,-0.281526,0.494558,0.0008,0.1601,0.2644,1,0.26435,0.8591,0.8591,119440,0
1778498837.862325,0.20065,-0.280591,0.483565,1,0.499,0.7013,0.195605,-0.282582,0.489476,0.0008,0.1705,0.3276,1,0.32765,0.6235,0.6235,119440,0
1778498837.912432,0.208807,-0.283294,0.472796,1,0.4241,0.6253,0.203762,-0.285285,0.478706,0.0006,0.1472,0.2763,1,0.27631,0.9479,0.9479,119440,0
1778498837.962673,0.211932,-0.284049,0.467285,1,0.4422,0.6339,0.206887,-0.28604,0.473196,0.0007,0.1595,0.282,1,0.28202,0.7396,0.7396,119444,0
1778498838.012861,0.215279,-0.285965,0.460028,1,0.4071,0.5883,0.210234,-0.287956,0.465939,0.0008,0.144,0.2624,1,0.26237,0.8769,0.8769,119448,0
1778498838.063502,0.217678,-0.286754,0.451791,1,0.4274,0.6173,0.212634,-0.288745,0.457702,0.0007,0.1499,0.2768,1,0.27679,0.9775,0.9775,119448,0
1778498838.113725,0.215915,-0.286498,0.436937,1,0.4475,0.6535,0.21087,-0.288489,0.442848,0.002,0.1664,0.2791,1,0.27909,1.3471,1.3471,119448,0
1778498838.163824,0.213243,-0.285536,0.431233,1,0.4716,0.6643,0.208198,-0.287527,0.437144,0.0009,0.1803,0.2904,1,0.29044,1.066,1.066,119452,0
1778498838.213918,0.210971,-0.284036,0.426449,1,0.5019,0.7323,0.205926,-0.286027,0.43236,0.0007,0.1679,0.3332,1,0.33323,1.0781,1.0781,119456,0
1778498838.264001,0.21038,-0.283912,0.420974,1,0.3962,0.9981,0.205335,-0.285904,0.426885,0.0008,0.1404,0.255,1,0.25498,1.1548,1.1548,119460,0
1778498838.314095,0.210009,-0.283752,0.412584,1,0.4242,0.6279,0.204964,-0.285743,0.418494,0.0008,0.1532,0.2702,1,0.27016,1.3622,1.3622,119460,0
1778498838.364174,0.210841,-0.283932,0.409754,1,0.4239,0.6178,0.205796,-0.285924,0.415665,0.0005,0.1512,0.2722,1,0.27223,1.3118,1.3118,119460,0
1778498838.41427,0.212012,-0.284514,0.407552,1,0.4724,0.6648,0.206967,-0.286505,0.413462,0.0009,0.1738,0.2977,1,0.2977,1.3652,1.3652,119460,0
1778498838.46451,0.212853,-0.285645,0.406212,1,0.4877,1.4286,0.207808,-0.287636,0.412123,0.0009,0.16,0.3269,1,0.32689,1.404,1.404,119464,0
1778498838.514645,0.213299,-0.28712,0.406102,1,0.4488,0.6318,0.208254,-0.289111,0.412013,0.0007,0.1749,0.2733,1,0.27327,1.426,1.426,119464,0
1778498838.564739,0.212935,-0.288025,0.406759,1,0.4427,0.6317,0.20789,-0.290016,0.41267,0.0014,0.1433,0.298,1,0.29801,1.4272,1.4272,119468,0
1778498838.614856,0.21234,-0.289151,0.407657,1,0.4187,0.6313,0.207295,-0.291143,0.413568,0.0007,0.1482,0.2698,1,0.26982,1.417,1.417,119472,0
1778498838.665155,0.210757,-0.290355,0.409501,1,0.4574,0.9418,0.205712,-0.292346,0.415412,0.0007,0.1617,0.295,1,0.29501,1.4008,1.4008,119472,0
1778498838.715241,0.210533,-0.291059,0.409676,1,0.3984,0.5758,0.205488,-0.29305,0.415586,0.0006,0.1508,0.247,1,0.24701,1.3635,1.3635,119472,0
1778498838.765347,0.210527,-0.291742,0.409709,1,0.4532,0.6318,0.205482,-0.293733,0.415619,0.001,0.1721,0.28,1,0.28002,1.3677,1.3677,119472,0
1778498838.815537,0.209908,-0.291398,0.410455,1,0.441,0.6303,0.204864,-0.293389,0.416365,0.0009,0.1803,0.2598,1,0.25981,1.3567,1.3567,119472,0
1778498838.86569,0.20963,-0.291695,0.412585,1,0.4183,0.6287,0.204586,-0.293686,0.418496,0.0008,0.1478,0.2697,1,0.26974,1.329,1.329,119476,0
1778498838.915879,0.209625,-0.292227,0.415325,1,0.4606,0.6659,0.204581,-0.294219,0.421235,0.0013,0.1731,0.2862,1,0.28622,1.2922,1.2922,119484,0
1778498838.966004,0.208973,-0.291668,0.419264,1,0.4627,0.68,0.203928,-0.293659,0.425174,0.0007,0.1612,0.3009,1,0.30089,1.2545,1.2545,119484,0
1778498839.016106,0.207788,-0.290886,0.424889,1,0.4649,0.7011,0.202743,-0.292877,0.430799,0.0008,0.1636,0.3005,1,0.30046,1.2034,1.2034,119484,0
1778498839.066183,0.204572,-0.288481,0.439108,1,0.4223,0.6325,0.199527,-0.290472,0.445019,0.0005,0.1517,0.27,1,0.27004,1.5215,1.5215,119488,0
1778498839.116288,0.202145,-0.287448,0.447322,1,0.4563,0.6671,0.1971,-0.289439,0.453233,0.0016,0.149,0.3057,1,0.30573,0.9092,0.9092,119500,0
1778498839.166384,0.199734,-0.286618,0.455422,1,0.4499,0.6493,0.194689,-0.28861,0.461333,0.0005,0.1543,0.295,1,0.29501,0.8109,0.8109,119500,0
1778498839.216492,0.197328,-0.285888,0.463301,1,0.4401,0.64,0.192283,-0.287879,0.469212,0.0008,0.1642,0.2751,1,0.27511,0.7068,0.7068,119500,0
1778498839.266613,0.191555,-0.284016,0.481505,1,0.4858,0.6751,0.18651,-0.286007,0.487415,0.0008,0.2193,0.2656,1,0.26563,1.0633,1.0633,119504,0
1778498839.316711,0.188877,-0.28293,0.490597,1,0.4439,0.6554,0.183833,-0.284921,0.496508,0.0009,0.1694,0.2737,1,0.27366,0.4411,0.4411,119504,0
1778498839.366834,0.186892,-0.281624,0.499895,1,0.4573,0.6587,0.181847,-0.283615,0.505806,0.0008,0.1755,0.2809,1,0.28095,0.5603,0.5603,119504,0
1778498839.416928,0.185066,-0.280665,0.508962,1,0.4654,0.6621,0.180021,-0.282657,0.514873,0.001,0.1782,0.2861,1,0.28614,0.886,0.886,119508,0
1778498839.467045,0.182525,-0.278879,0.526608,1,0.4635,0.6746,0.177481,-0.28087,0.532519,0.0008,0.1786,0.2841,1,0.28412,2.3071,2.3071,119508,0
1778498839.517161,0.181303,-0.278059,0.535178,1,0.5983,0.7961,0.176258,-0.28005,0.541088,0.001,0.1769,0.4204,2,0.21018,0.433,0.433,119508,0
1778498839.567263,0.180319,-0.277128,0.542756,1,0.6636,0.8496,0.175275,-0.279119,0.548666,0.0007,0.1737,0.4892,2,0.24461,0.4287,0.4287,119508,0
1778498839.617371,0.179576,-0.276081,0.550322,1,0.6095,0.8198,0.174531,-0.278072,0.556233,0.0011,0.1654,0.443,2,0.22148,0.4613,0.4613,119508,0
1778498839.667479,0.177981,-0.273563,0.564914,1,0.6974,0.896,0.172937,-0.275554,0.570825,0.0008,0.1734,0.5232,2,0.26158,0.5228,0.5228,119508,0
1778498839.717639,0.177278,-0.272289,0.571669,1,0.6013,0.7894,0.172233,-0.274281,0.577579,0.0009,0.1805,0.4199,2,0.20995,0.5482,0.5482,119508,0
1778498839.76775,0.1764,-0.271179,0.577794,1,0.6185,0.8188,0.171355,-0.27317,0.583705,0.0007,0.1591,0.4586,2,0.22931,0.5737,0.5737,119512,0
1778498839.817866,0.175856,-0.270234,0.582834,1,0.6276,0.8553,0.170812,-0.272226,0.588744,0.0009,0.1726,0.4541,2,0.22706,0.5955,0.5955,119512,0
1778498839.867948,0.17492,-0.268521,0.59012,1,0.5579,0.7443,0.169875,-0.270512,0.596031,0.0014,0.1545,0.402,2,0.20102,0.5998,0.5998,119512,0
1778498839.918051,0.174553,-0.267698,0.592459,1,0.6057,0.7904,0.169508,-0.269689,0.598369,0.0011,0.1738,0.4308,2,0.21539,0.6187,0.6187,119516,0
