t,x,y,z,success,ik_ms,total_ms,tx,ty,tz,robot_ms,setup_ms,loop_ms,iterations,iter_ms,pos_err_mm,track_err_mm,mem_kb,deadline_missed
1778234451.147217,0.216,-0.295227,0.529734,1,0.8741,0.9926,0.43324,-0.05618,-0.327058,0.0007,0.422,0.4515,4,0.11287,0.4622,0.4622,116932,0
1778234451.197325,0.215831,-0.295068,0.529443,1,0.4771,0.7183,0.433071,-0.056021,-0.327349,0.0008,0.174,0.3024,1,0.30237,0.4919,0.4919,116936,0
1778234451.247439,0.215715,-0.29504,0.529271,1,0.5353,0.7781,0.432955,-0.055993,-0.327521,0.0009,0.1959,0.3385,1,0.33847,0.4913,0.4913,116936,0
1778234451.297559,0.215661,-0.295118,0.52915,1,0.4776,0.6753,0.432901,-0.056071,-0.327642,0.0009,0.165,0.3117,1,0.31168,0.4907,0.4907,116956,0
1778234451.347656,0.215639,-0.295185,0.529241,1,0.2293,0.345,0.432879,-0.056138,-0.327551,0.0006,0.0979,0.1308,1,0.13077,0.4899,0.4899,116956,0
1778234451.397735,0.215603,-0.295192,0.529251,1,0.2493,0.3687,0.432843,-0.056145,-0.327541,0.0005,0.1014,0.1474,1,0.14744,0.4902,0.4902,116956,0
1778234451.448287,0.215546,-0.295177,0.529194,1,0.4243,0.6164,0.432786,-0.05613,-0.327598,0.0006,0.1121,0.3116,1,0.31163,0.4903,0.4903,116956,0
1778234451.498417,0.215473,-0.295123,0.529049,1,0.3436,0.508,0.432713,-0.056076,-0.327743,0.0006,0.1367,0.2063,1,0.20627,0.4904,0.4904,116956,0
1778234451.548539,0.215497,-0.295124,0.528598,1,0.4702,0.6811,0.432737,-0.056076,-0.328194,0.0008,0.1686,0.3009,1,0.30086,0.4898,0.4898,116956,0
1778234451.598646,0.215627,-0.295163,0.528359,1,0.4632,0.6738,0.432867,-0.056116,-0.328433,0.0007,0.1638,0.2987,1,0.29867,0.4893,0.4893,116956,0
1778234451.648756,0.21571,-0.295156,0.528162,1,0.4407,0.649,0.43295,-0.056109,-0.32863,0.0009,0.1673,0.2724,1,0.27241,0.4891,0.4891,116956,0
1778234451.699242,0.215622,-0.295129,0.528078,1,0.2805,0.4187,0.432862,-0.056082,-0.328714,0.0004,0.1164,0.1636,1,0.16362,0.4884,0.4884,116956,0
1778234451.74936,0.215552,-0.295098,0.528065,1,0.278,0.4179,0.432791,-0.056051,-0.328727,0.0005,0.1146,0.1629,1,0.16295,0.4883,0.4883,116960,0
1778234451.799467,0.215582,-0.295088,0.528039,1,0.429,0.6357,0.432821,-0.056041,-0.328753,0.0007,0.1598,0.2685,1,0.26848,0.4885,0.4885,116960,0
1778234451.849575,0.21566,-0.295104,0.528043,1,0.4898,0.6982,0.4329,-0.056056,-0.328749,0.0011,0.192,0.2967,1,0.29666,0.4885,0.4885,116960,0
1778234451.899693,0.215756,-0.295122,0.528036,1,0.4518,1.0266,0.432995,-0.056075,-0.328756,0.0006,0.1675,0.2838,1,0.28376,0.4884,0.4884,116960,0
1778234451.94978,0.216077,-0.295146,0.527964,1,0.4168,0.6052,0.433317,-0.056099,-0.328828,0.0007,0.1735,0.2426,1,0.24262,0.4888,0.4888,116960,0
1778234451.999886,0.21595,-0.295124,0.528093,1,0.4044,0.6045,0.43319,-0.056077,-0.328699,0.0007,0.1522,0.2515,1,0.25152,0.4877,0.4877,116960,0
1778234452.049985,0.215816,-0.295129,0.528331,1,0.4403,0.649,0.433056,-0.056082,-0.328461,0.0008,0.1555,0.2839,1,0.28393,0.4877,0.4877,116968,0
1778234452.100518,0.215703,-0.295328,0.528964,1,0.4474,0.8336,0.432943,-0.056281,-0.327828,0.0009,0.1573,0.2892,1,0.2892,0.4867,0.4867,116968,0
1778234452.150625,0.215626,-0.295528,0.529404,1,0.5019,0.7048,0.432866,-0.056481,-0.327388,0.0009,0.1704,0.3306,1,0.33059,0.4878,0.4878,116972,0
1778234452.20073,0.215622,-0.29583,0.529675,1,0.4003,0.5741,0.432862,-0.056783,-0.327117,0.0007,0.1446,0.255,1,0.25496,0.4882,0.4882,116972,0
