t,x,y,z,success,ik_ms,total_ms,dx,dy,dz
1777882688.1342852,0.23282522956198487,-0.16473787319689825,0.47812223463072967,1,10.193109512329102,10.546684265136719,0.016825229563442012,-0.011238681298855871,0.00012189118456834569
1777882688.1795566,0.23946628111180865,-0.16709237038404268,0.480043878515059,1,5.72514533996582,5.950689315795898,0.02346628111326579,-0.013593178486000293,0.0020435350688976506
1777882688.236628,0.24347936949230342,-0.16841893677235692,0.4811470195077155,1,12.724637985229492,12.92109489440918,0.027479369493760564,-0.01491974487431455,0.0031466760615541656
1777882688.2886395,0.2523012209374634,-0.17099934731799415,0.4834846403902609,1,14.451265335083008,14.807939529418945,0.03630122093892052,-0.017500155419951785,0.005484296944099562
1777882688.380568,0.26165883324962536,-0.17327414035105865,0.48568860087309446,1,56.43892288208008,56.685686111450195,0.0456588332510825,-0.01977494845301629,0.007688257426933132
1777882688.416147,0.26621090989681284,-0.1741642769755266,0.48680006346719157,1,34.98959541320801,35.208702087402344,0.050210909898269984,-0.020665085077484227,0.008799720021030258
1777882688.462748,0.275715745392116,-0.1755415399216891,0.4891469552780333,1,30.627012252807617,30.858755111694336,0.05971574539357316,-0.02204234802364674,0.011146611831872016
1777882688.5201318,0.2847643536538408,-0.1760348902238206,0.49173034113287173,1,36.01717948913574,36.21840476989746,0.06876435365529793,-0.02253569832577823,0.013729997686710432
1777882688.5801733,0.2898235337381061,-0.17606017464067625,0.49323097006874744,1,45.02367973327637,45.2580451965332,0.07382353373956324,-0.022560982742633878,0.015230626622586133
1777882688.6154919,0.2992381727986703,-0.17536538014180436,0.496991782829414,1,30.286550521850586,30.500411987304688,0.08323817280012746,-0.021866188243761978,0.01899143938325265
1777882688.6744452,0.3,-0.17303798648554986,0.5013634510222408,1,39.0927791595459,39.35670852661133,0.09038741094354952,-0.0195387945875075,0.023363107576079456
1777882688.7280507,0.3,-0.16943123972055962,0.5057381482576844,1,42.523860931396484,42.756080627441406,0.09675297544587802,-0.015932047822517267,0.027737804811523062
1777882688.7661939,0.3,-0.16713400449381233,0.5078429626877446,1,30.60126304626465,30.818462371826172,0.09985128347788197,-0.013634812595769943,0.029842619241583324
1777882688.8300736,0.3,-0.1615262056753835,0.5116884826491628,1,44.34013366699219,44.56353187561035,0.10628306761033846,-0.008027013777341122,0.033688139203001496
1777882688.8665657,0.3,-0.15412136298425727,0.5151857861014865,1,30.293703079223633,30.5173397064209,0.11010476155775961,-0.0006221710862149149,0.03718544265532514
1777882688.9321465,0.3,-0.1498373420031158,0.5167331534922562,1,45.807838439941406,46.04911804199219,0.11149976421845997,0.003661849894926572,0.038732810046094884
1777882688.9919775,0.3,-0.14062284380741835,0.5192470263081518,1,55.55152893066406,55.81545829772949,0.11326547970888423,0.012876348090624004,0.04124668286199047
1777882689.045404,0.3,-0.13550428147004956,0.5202665687203067,1,52.79278755187988,53.01928520202637,0.11400134743411283,0.017994910427992818,0.04226622527414539
