x,y,z,success,ompl_ms,planned_duration_ms,motion_ms,total_ms,n_waypoints,joint_path_len
0.1042,-0.2474,0.4311,1,4.22,0.00,1143.13,1147.34,0,1.2286
0.0638,-0.2106,0.4311,1,4.36,0.00,864.17,868.53,0,0.8571
0.2330,-0.2919,0.4312,1,4.77,0.00,1703.48,1708.26,0,1.9856
0.0956,-0.1447,0.4312,1,6.13,0.00,1622.74,1628.86,0,2.3496
0.2538,-0.1595,0.4312,1,4.99,0.00,1602.77,1607.76,0,1.6699
0.0682,-0.2610,0.4312,1,5.36,0.00,1644.29,1649.66,0,2.2837
0.0696,-0.2038,0.4312,1,4.17,0.00,923.54,927.71,0,0.8251
0.0697,-0.2038,0.4313,1,3.20,0.00,165.78,168.98,0,0.0000
0.0850,-0.3079,0.4313,1,4.68,0.00,1023.56,1028.24,0,1.4256
0.2539,-0.1597,0.4313,1,4.42,0.00,1502.90,1507.32,0,2.3231
0.2539,-0.1597,0.4313,1,3.87,0.00,164.44,168.31,0,0.0039
0.2539,-0.1597,0.4313,1,3.37,0.00,164.83,168.20,0,0.0000
0.2539,-0.1598,0.4313,1,3.59,0.00,166.09,169.68,0,0.0042
0.2539,-0.1598,0.4313,1,3.32,0.00,162.10,165.42,0,0.0035
0.2539,-0.1598,0.4313,1,3.72,0.00,167.39,171.11,0,0.0000
0.2539,-0.1598,0.4313,1,3.16,0.00,164.04,167.19,0,0.0000
0.2539,-0.1598,0.4313,1,3.44,0.00,165.36,168.80,0,0.0000
0.2539,-0.1598,0.4313,1,3.33,0.00,164.66,167.99,0,0.0000
0.2539,-0.1598,0.4313,1,3.64,0.00,164.76,168.41,0,0.0000
0.2539,-0.1593,0.4313,1,3.89,0.00,144.93,148.83,0,0.0042
0.2539,-0.1584,0.4313,1,3.47,0.00,165.60,169.07,0,0.0066
0.2539,-0.1584,0.4313,1,3.71,0.00,163.44,167.15,0,0.0000
0.0738,-0.2575,0.4313,1,4.80,0.00,1643.41,1648.21,0,2.2939
0.1024,-0.2499,0.4313,1,4.57,0.00,683.92,688.49,0,0.3059
0.0775,-0.3119,0.4314,1,2.45,0.00,766.28,768.73,0,0.7305
0.2540,-0.1597,0.4314,1,6.14,0.00,1582.27,1588.41,0,2.4832
0.0366,-0.2769,0.4314,1,5.09,0.00,1824.26,1829.35,0,2.8017
0.2540,-0.1598,0.4314,1,5.03,0.00,1841.63,1846.66,0,2.8137
0.2540,-0.1598,0.4314,1,3.54,0.00,164.32,167.86,0,0.0000
0.2540,-0.1598,0.4314,1,3.77,0.00,164.62,168.39,0,0.0000
0.2540,-0.1598,0.4314,1,3.14,0.00,125.84,128.98,0,0.0018
