x,y,z,success,elapsed_ms
0.2500,-0.2500,0.4000,0,8.834
0.3000,-0.2500,0.4000,0,7.019
0.3000,-0.2000,0.4000,0,7.393
0.3000,-0.1000,0.4000,0,7.486
-0.3500,-0.2000,0.4500,0,6.512
-0.3500,-0.1500,0.4500,0,6.531
-0.3000,-0.2000,0.4500,0,7.680
-0.3000,-0.1500,0.4500,0,6.532
-0.3000,-0.1000,0.4500,0,7.473
-0.3000,-0.3000,0.4500,0,6.410
-0.2500,-0.4000,0.4500,0,6.800
-0.2500,-0.3500,0.4500,0,6.469
-0.2500,-0.3000,0.4500,0,6.505
-0.2000,-0.4000,0.4500,0,7.443
-0.2000,-0.3500,0.4500,0,6.664
-0.2000,-0.3000,0.4500,0,8.371
-0.3000,-0.2500,0.4500,0,6.523
-0.2500,-0.2500,0.4500,0,8.180
-0.2500,-0.2000,0.4500,0,9.879
-0.2000,-0.2500,0.4500,0,9.051
-0.2000,-0.2000,0.4500,0,7.063
-0.1500,-0.4500,0.4500,0,6.524
-0.1500,-0.4000,0.4500,0,8.946
-0.1000,-0.4500,0.4500,0,6.968
-0.1000,-0.4000,0.4500,0,6.415
-0.1500,-0.3500,0.4500,0,9.711
-0.1500,-0.3000,0.4500,0,10.330
-0.1000,-0.3500,0.4500,0,8.216
-0.1000,-0.3000,0.4500,0,7.697
-0.1500,-0.2500,0.4500,0,9.942
-0.1500,-0.2000,0.4500,0,12.593
-0.1000,-0.2500,0.4500,0,7.240
-0.2000,-0.0500,0.4500,0,6.477
-0.1500,0.0000,0.4500,0,7.523
-0.0500,-0.5000,0.4500,0,6.554
-0.0500,-0.4500,0.4500,0,6.783
-0.0500,-0.4000,0.4500,0,6.736
0.0500,-0.5000,0.4500,0,6.482
0.0500,-0.4500,0.4500,0,6.689
0.0500,-0.4000,0.4500,0,7.278
0.1000,-0.4000,0.4500,0,8.951
0.0500,-0.3000,0.4500,0,35.563
0.0000,-0.2000,0.4500,0,6.731
0.0500,-0.2000,0.4500,0,8.076
0.1000,-0.2500,0.4500,0,12.494
0.1000,-0.2000,0.4500,0,7.892
0.1500,-0.4500,0.4500,0,6.887
0.1500,-0.4000,0.4500,0,7.703
0.2000,-0.4000,0.4500,0,8.215
0.3000,-0.3000,0.4500,0,7.833
0.2500,-0.2500,0.4500,0,7.211
0.3000,-0.2500,0.4500,0,6.562
0.3000,-0.1500,0.4500,0,6.971
0.3500,-0.2000,0.4500,0,11.054
0.3500,-0.1500,0.4500,0,6.840
0.3500,-0.1000,0.4500,0,6.761
-0.3500,-0.3000,0.5000,0,6.404
-0.3000,-0.3500,0.5000,0,6.860
-0.3000,-0.3000,0.5000,0,7.378
-0.3500,-0.2500,0.5000,0,6.028
-0.3500,-0.2000,0.5000,0,8.008
-0.3000,-0.2500,0.5000,0,9.085
-0.3000,-0.2000,0.5000,0,7.740
-0.3500,-0.1500,0.5000,0,6.161
-0.3500,-0.1000,0.5000,0,5.871
-0.3000,-0.1500,0.5000,0,7.242
-0.3000,-0.1000,0.5000,0,9.440
-0.3500,-0.0500,0.5000,0,6.882
-0.3000,-0.0500,0.5000,0,6.733
-0.2500,-0.4500,0.5000,0,7.018
-0.2500,-0.4000,0.5000,0,6.591
-0.2000,-0.4500,0.5000,0,15.890
-0.2000,-0.4000,0.5000,0,7.689
-0.2500,-0.3000,0.5000,0,8.227
-0.2000,-0.3500,0.5000,0,10.995
-0.2000,-0.3000,0.5000,1,2.503
-0.2500,-0.2500,0.5000,0,9.120
-0.2000,-0.2500,0.5000,0,9.871
-0.2000,-0.2000,0.5000,0,6.459
-0.2500,-0.1500,0.5000,0,10.799
-0.2500,-0.1000,0.5000,0,5.906
-0.2000,-0.1500,0.5000,0,10.993
-0.2000,-0.1000,0.5000,0,6.581
-0.2500,-0.0500,0.5000,0,7.460
-0.2000,-0.0500,0.5000,0,6.405
-0.2000,0.0000,0.5000,0,7.680
-0.1500,-0.5000,0.5000,0,6.792
-0.1500,-0.4500,0.5000,0,7.051
-0.1500,-0.4000,0.5000,1,1.341
-0.1000,-0.5000,0.5000,0,6.447
-0.1000,-0.4500,0.5000,0,8.506
-0.1000,-0.4000,0.5000,0,7.656
-0.1500,-0.3500,0.5000,0,8.060
-0.1500,-0.3000,0.5000,1,5.540
-0.1000,-0.3500,0.5000,1,1.865
-0.1000,-0.3000,0.5000,0,8.566
-0.1500,-0.2500,0.5000,0,9.880
-0.1500,-0.2000,0.5000,0,8.121
-0.1000,-0.2500,0.5000,0,8.640
-0.1000,-0.2000,0.5000,0,6.613
-0.1500,-0.1500,0.5000,0,5.829
