x,y,z,success,elapsed_ms
0.2500,-0.2500,0.4000,0,6.025
0.3000,-0.2500,0.4000,0,6.787
0.3000,-0.2000,0.4000,0,10.397
0.3000,-0.1000,0.4000,0,8.482
-0.3500,-0.2000,0.4500,0,7.525
-0.3500,-0.1500,0.4500,0,7.558
-0.3000,-0.2000,0.4500,0,8.277
-0.3000,-0.1500,0.4500,0,6.777
-0.3000,-0.1000,0.4500,0,6.786
-0.3000,-0.3000,0.4500,0,7.057
-0.2500,-0.4000,0.4500,0,6.526
-0.2500,-0.3500,0.4500,0,8.317
-0.2500,-0.3000,0.4500,0,7.040
-0.2000,-0.4000,0.4500,0,10.693
-0.2000,-0.3500,0.4500,0,9.178
-0.2000,-0.3000,0.4500,0,7.096
-0.3000,-0.2500,0.4500,0,10.760
-0.2500,-0.2500,0.4500,0,7.285
-0.2500,-0.2000,0.4500,0,6.652
-0.2000,-0.2500,0.4500,0,6.655
-0.2000,-0.2000,0.4500,0,9.987
-0.1500,-0.4500,0.4500,0,10.756
-0.1500,-0.4000,0.4500,0,10.946
-0.1000,-0.4500,0.4500,0,7.932
-0.1000,-0.4000,0.4500,0,8.867
-0.1500,-0.3500,0.4500,0,6.841
-0.1500,-0.3000,0.4500,0,8.957
-0.1000,-0.3500,0.4500,0,7.892
-0.1000,-0.3000,0.4500,0,9.149
-0.1500,-0.2500,0.4500,0,9.800
-0.1500,-0.2000,0.4500,0,11.500
-0.1000,-0.2500,0.4500,0,11.915
-0.2000,-0.0500,0.4500,0,11.445
-0.1500,0.0000,0.4500,0,8.565
-0.0500,-0.5000,0.4500,0,6.949
-0.0500,-0.4500,0.4500,0,6.944
-0.0500,-0.4000,0.4500,0,7.834
0.0500,-0.5000,0.4500,0,6.736
0.0500,-0.4500,0.4500,0,9.686
0.0500,-0.4000,0.4500,0,6.354
0.1000,-0.4000,0.4500,0,6.853
0.0500,-0.3000,0.4500,0,7.700
0.0000,-0.2000,0.4500,0,7.083
0.0500,-0.2000,0.4500,0,6.800
0.1000,-0.2500,0.4500,0,7.130
0.1000,-0.2000,0.4500,0,7.822
0.1500,-0.4500,0.4500,0,6.629
0.1500,-0.4000,0.4500,0,7.504
0.2000,-0.4000,0.4500,0,8.663
0.3000,-0.3000,0.4500,0,5.985
0.2500,-0.2500,0.4500,0,7.482
0.3000,-0.2500,0.4500,0,7.517
0.3000,-0.1500,0.4500,0,8.261
0.3500,-0.2000,0.4500,0,9.576
0.3500,-0.1500,0.4500,0,7.259
0.3500,-0.1000,0.4500,0,11.537
-0.3500,-0.3000,0.5000,0,6.887
-0.3000,-0.3500,0.5000,0,6.918
-0.3000,-0.3000,0.5000,0,8.845
-0.3500,-0.2500,0.5000,0,6.204
-0.3500,-0.2000,0.5000,0,7.397
-0.3000,-0.2500,0.5000,0,8.844
-0.3000,-0.2000,0.5000,1,4.912
-0.3500,-0.1500,0.5000,0,6.526
-0.3500,-0.1000,0.5000,0,8.556
-0.3000,-0.1500,0.5000,1,2.636
-0.3000,-0.1000,0.5000,1,1.707
-0.3500,-0.0500,0.5000,0,6.721
-0.3000,-0.0500,0.5000,0,6.565
-0.2500,-0.4500,0.5000,0,6.192
-0.2500,-0.4000,0.5000,0,6.618
-0.2000,-0.4500,0.5000,0,11.972
-0.2000,-0.4000,0.5000,0,9.561
-0.2500,-0.3000,0.5000,1,1.240
-0.2000,-0.3500,0.5000,1,2.344
-0.2000,-0.3000,0.5000,1,3.009
-0.2500,-0.2500,0.5000,1,2.681
-0.2000,-0.2500,0.5000,1,4.406
-0.2000,-0.2000,0.5000,1,2.464
-0.2500,-0.1500,0.5000,0,9.177
-0.2500,-0.1000,0.5000,1,1.597
-0.2000,-0.1500,0.5000,0,8.876
-0.2000,-0.1000,0.5000,1,2.424
-0.2500,-0.0500,0.5000,0,8.654
-0.2000,-0.0500,0.5000,1,1.571
-0.2000,0.0000,0.5000,0,9.858
-0.1500,-0.5000,0.5000,0,6.390
-0.1500,-0.4500,0.5000,0,6.698
-0.1500,-0.4000,0.5000,1,4.534
-0.1000,-0.5000,0.5000,0,8.293
-0.1000,-0.4500,0.5000,0,9.230
-0.1000,-0.4000,0.5000,0,11.820
-0.1500,-0.3500,0.5000,0,9.961
-0.1500,-0.3000,0.5000,0,8.786
-0.1000,-0.3500,0.5000,1,3.308
-0.1000,-0.3000,0.5000,1,5.364
-0.1500,-0.2500,0.5000,1,3.541
-0.1500,-0.2000,0.5000,1,1.324
-0.1000,-0.2500,0.5000,1,2.750
-0.1000,-0.2000,0.5000,0,6.361
-0.1500,-0.1500,0.5000,1,1.127
-0.1500,-0.1000,0.5000,0,8.321
-0.1000,-0.1000,0.5000,0,6.451
-0.1500,-0.0500,0.5000,1,2.177
-0.1500,0.0000,0.5000,0,9.131
-0.1000,-0.0500,0.5000,0,8.263
-0.0500,-0.5000,0.5000,0,8.520
-0.0500,-0.4500,0.5000,0,11.258
-0.0500,-0.4000,0.5000,0,11.791
0.0000,-0.4500,0.5000,0,8.886
0.0000,-0.4000,0.5000,0,8.427
-0.0500,-0.3500,0.5000,0,9.278
-0.0500,-0.3000,0.5000,0,7.010
0.0000,-0.3500,0.5000,0,9.992
-0.0500,-0.2500,0.5000,0,11.868
0.0500,-0.5000,0.5000,0,7.346
0.0500,-0.4500,0.5000,0,7.823
0.0500,-0.4000,0.5000,0,6.662
0.1000,-0.5000,0.5000,0,6.508
0.1000,-0.4500,0.5000,0,6.504
0.1000,-0.4000,0.5000,0,11.690
0.0500,-0.3500,0.5000,0,7.992
0.0500,-0.3000,0.5000,0,6.111
0.1000,-0.3500,0.5000,0,8.853
0.1000,-0.3000,0.5000,0,9.615
0.1000,-0.2500,0.5000,0,9.629
0.1500,-0.5000,0.5000,0,10.900
0.1500,-0.4000,0.5000,0,10.194
0.2000,-0.4500,0.5000,0,6.867
0.2000,-0.4000,0.5000,0,10.903
0.1500,-0.3500,0.5000,0,6.739
0.1500,-0.3000,0.5000,0,10.940
0.2000,-0.3500,0.5000,0,11.649
0.2000,-0.3000,0.5000,0,9.907
0.1500,-0.2500,0.5000,0,16.959
0.1500,-0.2000,0.5000,0,10.281
0.2000,-0.2500,0.5000,0,8.731
0.2000,-0.2000,0.5000,0,8.760
0.1500,-0.1500,0.5000,0,7.632
0.1500,-0.1000,0.5000,0,8.683
0.2000,-0.1500,0.5000,0,9.803
0.2000,-0.1000,0.5000,0,6.921
0.2500,-0.3500,0.5000,0,7.980
0.2500,-0.3000,0.5000,0,7.230
0.3000,-0.3000,0.5000,0,11.160
0.2500,-0.2500,0.5000,0,8.794
0.2500,-0.2000,0.5000,0,15.585
0.3000,-0.2500,0.5000,0,7.308
0.3000,-0.2000,0.5000,0,12.231
0.2500,-0.1500,0.5000,0,8.848
0.2500,-0.1000,0.5000,0,8.882
0.3000,-0.1500,0.5000,0,6.838
0.3000,-0.1000,0.5000,0,10.338
0.2000,-0.0500,0.5000,0,12.323
0.2000,0.0000,0.5000,0,9.539
