t,x,y,z,success,ik_ms,total_ms,dx,dy,dz
1777878146.9236228,0.2113414432871071,-0.1732264515191558,0.4796377383228438,1,6.141185760498047,6.509304046630859,-0.0046585567114357605,-0.019727259621113435,0.0016373948766824561
1777878146.9682202,0.21540886100708825,-0.17908780470143346,0.48253638849081915,1,0.9605884552001953,1.194000244140625,-0.0005911389914545918,-0.025588612803391086,0.0045360450446578215
1777878147.0190773,0.2198927715234691,-0.1847613691481268,0.48578963717755597,1,1.6770362854003906,1.9757747650146484,0.0038927715249262203,-0.03126217725008443,0.007789293731394656
1777878147.0691001,0.22208465201945027,-0.18730131915568438,0.48756630314596755,1,1.4865398406982422,1.825571060180664,0.006084652020907402,-0.033802127257642006,0.009565959699806205
1777878147.1203017,0.22674399272581383,-0.19187807135135515,0.4911356111621699,1,1.642465591430664,1.842498779296875,0.010743992727270965,-0.03837887945331278,0.013135267716008578
1777878147.1705558,0.23194303836286756,-0.19668834732025112,0.4944708379683287,1,2.3255348205566406,2.742290496826172,0.015943038364324688,-0.04318915542220875,0.016470494522167367
1777878147.2195523,0.23471497894234214,-0.19909508101028653,0.49602112105823704,1,0.8740425109863281,1.2660026550292969,0.018714978943799292,-0.04559588911224416,0.018020777612075704
1777878147.2721305,0.24062645437814192,-0.20380920969235122,0.49890842010036496,1,2.507448196411133,2.850770950317383,0.024626454379599066,-0.05031001779430885,0.020908076654203613
1777878147.3223248,0.2464432655117696,-0.20759024385189292,0.5016153363750528,1,2.1851062774658203,2.5081634521484375,0.03044326551322673,-0.054091051953850555,0.023614992928891472
1777878147.3744013,0.25337316016616623,-0.2111495103115358,0.5045375719751143,1,2.376079559326172,2.704143524169922,0.037373160167623355,-0.05765031841349344,0.026537228528952985
1777878147.4229321,0.2574697036603466,-0.21301174430559158,0.5059888776413105,1,1.0020732879638672,1.1920928955078125,0.04146970366180377,-0.05951255240754921,0.027988534195149146
1777878147.4746757,0.2651691733494195,-0.21568573234424512,0.5095260706385571,1,2.5222301483154297,2.8493404388427734,0.0491691733508766,-0.062186540446202754,0.03152572719239582
1777878147.5248587,0.27301479855461475,-0.2171260841169206,0.5134347409393146,1,2.562999725341797,2.9306411743164062,0.05701479855607187,-0.06362689221887824,0.03543439749315331
1777878147.575751,0.2768039924487523,-0.21734706540717214,0.5154087781892186,1,3.4186840057373047,3.7508010864257812,0.06080399245020945,-0.06384787350912977,0.03740843474305723
1777878147.633198,0.2848238773624488,-0.21638559854425707,0.5199254990476428,1,2.871274948120117,3.2291412353515625,0.06882387736390592,-0.0628864066462147,0.04192515560148152
1777878147.6834912,0.29202888475670996,-0.21367743292567248,0.5241662068068288,1,3.1228065490722656,3.453493118286133,0.0760288847581671,-0.060178241027630114,0.04616586336066752
1777878147.7333379,0.2986337494174318,-0.20955210345005817,0.5276014460197991,1,2.8586387634277344,3.2236576080322266,0.08263374941888899,-0.056052911552015805,0.04960110257363777
1777878147.7830338,0.3,-0.20668708936975838,0.5292743965650404,1,2.362489700317383,2.8336048126220703,0.08606982017833592,-0.05318789747171601,0.05127405311887907
1777878147.8333685,0.3,-0.2002131053003665,0.5321964425973428,1,2.0782947540283203,2.459287643432617,0.09208199802271497,-0.04671391340232414,0.054196099151181495
1777878147.8832185,0.3,-0.19214260678172654,0.534465093945673,1,1.8355846405029297,2.235889434814453,0.09729457361300424,-0.03864341488368417,0.056464750499511676
1777878147.9330294,0.3,-0.18768677773752837,0.5353980677172464,1,1.6040802001953125,1.9748210906982422,0.09940354151473786,-0.034187585839486,0.05739772427108507
1777878147.9836962,0.3,-0.1771737170981764,0.537123046542559,1,2.2246837615966797,2.5746822357177734,0.10316371136021206,-0.023674525200134022,0.05912270309639776
1777878148.034001,0.3,-0.16620157806737074,0.5385739416940704,1,2.409696578979492,2.8035640716552734,0.10639352450996528,-0.012702386169328367,0.06057359824790906
1777878148.0842834,0.3,-0.16065966858192424,0.5391007655520609,1,2.1820068359375,3.009796142578125,0.10805133287642485,-0.007160476683881867,0.0611004221058996
1777878148.1328094,0.3,-0.14938049632818565,0.5397255174879712,1,0.9448528289794922,1.1649131774902344,0.1105857783650972,0.004118695569856723,0.06172517404180984
1777878148.1831636,0.3,-0.13868238148679884,0.5398694155455488,1,1.222848892211914,1.5130043029785156,0.1120371618821622,0.014816810411243539,0.06186907209938743
1777878148.2344906,0.3,-0.13372847903194107,0.5397186319312264,1,2.3276805877685547,2.7344226837158203,0.11222336116875539,0.019770712866101298,0.06171828848506503
1777878148.284522,0.3,-0.1238082017538456,0.5389656136888891,1,1.1320114135742188,1.4843940734863281,0.11030345884678897,0.02969099014419676,0.060965270242727784
1777878148.335835,0.3,-0.11680393850496879,0.5373208245513864,1,2.423524856567383,2.7124881744384766,0.10912964176501934,0.03669525339307358,0.059320481105225094
1777878148.3858771,0.3,-0.11428277640400751,0.5365874828973336,1,2.3186206817626953,2.674579620361328,0.10741761687415738,0.03921641549403486,0.05858713945117227
1777878148.43439,0.3,-0.11086038547996388,0.5350941386485497,1,0.9520053863525391,1.1441707611083984,0.10042325182208829,0.04263880641807849,0.05709379520238835
1777878148.4860487,0.3,-0.10961988327954673,0.5331653740705707,1,2.37274169921875,2.714872360229492,0.08808942602667681,0.043879308618495635,0.05516503062440943
1777878148.5368462,0.2968106463681099,-0.10970496565816218,0.5317080214285163,1,3.0083656311035156,3.4155845642089844,0.08081064636956704,0.043794226239880184,0.0537076779823549
1777878148.5862825,0.2814463329774685,-0.11135627690059148,0.5283150875786381,1,2.470731735229492,2.7823448181152344,0.06544633297892567,0.04214291499745089,0.0503147441324768
1777878148.6363266,0.26514590650956094,-0.11430035824795244,0.5237925041951311,1,2.431631088256836,2.758502960205078,0.049145906511018106,0.03919883365008993,0.04579216074896983
