x,y,z,success,elapsed_ms
0.2500,-0.2500,0.4000,0,7.793
0.3000,-0.2500,0.4000,0,7.874
0.3000,-0.2000,0.4000,0,7.180
0.3000,-0.1000,0.4000,0,7.166
-0.3500,-0.2000,0.4500,1,1.373
-0.3500,-0.1500,0.4500,1,2.291
-0.3000,-0.2000,0.4500,1,1.546
-0.3000,-0.1500,0.4500,1,4.560
-0.3000,-0.1000,0.4500,0,6.827
-0.3000,-0.3000,0.4500,1,3.133
-0.2500,-0.4000,0.4500,1,3.257
-0.2500,-0.3500,0.4500,1,2.231
-0.2500,-0.3000,0.4500,1,3.501
-0.2000,-0.4000,0.4500,1,2.956
-0.2000,-0.3500,0.4500,1,1.442
-0.2000,-0.3000,0.4500,1,1.539
-0.3000,-0.2500,0.4500,1,2.856
-0.2500,-0.2500,0.4500,1,1.222
-0.2500,-0.2000,0.4500,1,1.195
-0.2000,-0.2500,0.4500,1,1.437
-0.2000,-0.2000,0.4500,1,1.185
-0.1500,-0.4500,0.4500,1,1.237
-0.1500,-0.4000,0.4500,0,10.305
-0.1000,-0.4500,0.4500,1,2.656
-0.1000,-0.4000,0.4500,1,3.372
-0.1500,-0.3500,0.4500,1,2.333
-0.1500,-0.3000,0.4500,1,3.626
-0.1000,-0.3500,0.4500,1,1.149
-0.1000,-0.3000,0.4500,1,2.481
-0.1500,-0.2500,0.4500,1,1.379
-0.1500,-0.2000,0.4500,1,1.599
-0.1000,-0.2500,0.4500,1,2.840
-0.2000,-0.0500,0.4500,0,6.951
-0.1500,0.0000,0.4500,1,3.850
-0.0500,-0.5000,0.4500,1,2.406
-0.0500,-0.4500,0.4500,1,1.579
-0.0500,-0.4000,0.4500,1,1.193
0.0500,-0.5000,0.4500,0,7.601
0.0500,-0.4500,0.4500,0,9.160
0.0500,-0.4000,0.4500,0,15.386
0.1000,-0.4000,0.4500,0,6.473
0.0500,-0.3000,0.4500,0,6.123
0.0000,-0.2000,0.4500,0,12.554
0.0500,-0.2000,0.4500,0,9.310
0.1000,-0.2500,0.4500,0,7.378
0.1000,-0.2000,0.4500,0,6.832
0.1500,-0.4500,0.4500,0,7.806
0.1500,-0.4000,0.4500,0,6.403
0.2000,-0.4000,0.4500,0,11.245
0.3000,-0.3000,0.4500,0,7.534
0.2500,-0.2500,0.4500,0,12.309
0.3000,-0.2500,0.4500,0,6.678
0.3000,-0.1500,0.4500,0,9.862
0.3500,-0.2000,0.4500,0,9.878
0.3500,-0.1500,0.4500,0,9.055
0.3500,-0.1000,0.4500,0,7.179
-0.3500,-0.3000,0.5000,1,2.296
-0.3000,-0.3500,0.5000,1,2.177
-0.3000,-0.3000,0.5000,1,2.279
-0.3500,-0.2500,0.5000,1,2.326
-0.3500,-0.2000,0.5000,1,3.763
-0.3000,-0.2500,0.5000,1,1.174
-0.3000,-0.2000,0.5000,1,1.334
-0.3500,-0.1500,0.5000,1,3.380
-0.3500,-0.1000,0.5000,1,1.318
-0.3000,-0.1500,0.5000,1,2.215
-0.3000,-0.1000,0.5000,1,1.456
-0.3500,-0.0500,0.5000,1,3.852
-0.3000,-0.0500,0.5000,0,10.735
-0.2500,-0.4500,0.5000,1,2.524
-0.2500,-0.4000,0.5000,1,1.339
-0.2000,-0.4500,0.5000,1,2.914
-0.2000,-0.4000,0.5000,1,1.356
-0.2500,-0.3000,0.5000,0,6.473
-0.2000,-0.3500,0.5000,1,7.057
-0.2000,-0.3000,0.5000,1,1.468
-0.2500,-0.2500,0.5000,1,2.183
-0.2000,-0.2500,0.5000,1,3.168
-0.2000,-0.2000,0.5000,1,1.546
-0.2500,-0.1500,0.5000,1,1.269
-0.2500,-0.1000,0.5000,1,6.332
-0.2000,-0.1500,0.5000,1,2.236
-0.2000,-0.1000,0.5000,0,7.020
-0.2500,-0.0500,0.5000,0,13.221
-0.2000,-0.0500,0.5000,0,5.958
-0.2000,0.0000,0.5000,1,2.301
-0.1500,-0.5000,0.5000,1,2.282
-0.1500,-0.4500,0.5000,1,1.473
-0.1500,-0.4000,0.5000,1,1.450
-0.1000,-0.5000,0.5000,1,1.744
-0.1000,-0.4500,0.5000,1,1.198
-0.1000,-0.4000,0.5000,1,1.581
-0.1500,-0.3500,0.5000,1,2.486
-0.1500,-0.3000,0.5000,1,13.665
-0.1000,-0.3500,0.5000,1,1.789
-0.1000,-0.3000,0.5000,1,3.328
-0.1500,-0.2500,0.5000,1,1.224
-0.1500,-0.2000,0.5000,1,1.241
-0.1000,-0.2500,0.5000,1,3.350
-0.1000,-0.2000,0.5000,1,2.277
-0.1500,-0.1500,0.5000,1,4.707
-0.1500,-0.1000,0.5000,0,6.783
-0.1000,-0.1000,0.5000,0,7.871
-0.1500,-0.0500,0.5000,1,4.881
-0.1500,0.0000,0.5000,0,6.531
-0.1000,-0.0500,0.5000,0,9.107
-0.0500,-0.5000,0.5000,1,1.773
-0.0500,-0.4500,0.5000,0,7.873
-0.0500,-0.4000,0.5000,1,4.581
0.0000,-0.4500,0.5000,0,9.903
0.0000,-0.4000,0.5000,0,8.062
-0.0500,-0.3500,0.5000,1,1.366
-0.0500,-0.3000,0.5000,1,2.181
0.0000,-0.3500,0.5000,0,9.040
-0.0500,-0.2500,0.5000,1,1.285
0.0500,-0.5000,0.5000,0,11.472
0.0500,-0.4500,0.5000,0,8.799
0.0500,-0.4000,0.5000,1,2.393
0.1000,-0.5000,0.5000,0,8.666
0.1000,-0.4500,0.5000,0,7.654
0.1000,-0.4000,0.5000,0,8.759
0.0500,-0.3500,0.5000,1,4.792
0.0500,-0.3000,0.5000,0,10.684
0.1000,-0.3500,0.5000,1,4.833
0.1000,-0.3000,0.5000,0,8.046
0.1000,-0.2500,0.5000,0,8.125
0.1500,-0.5000,0.5000,0,6.829
0.1500,-0.4000,0.5000,0,7.014
0.2000,-0.4500,0.5000,0,7.938
0.2000,-0.4000,0.5000,0,6.862
0.1500,-0.3500,0.5000,0,6.711
0.1500,-0.3000,0.5000,0,10.588
0.2000,-0.3500,0.5000,0,13.750
