x,y,z,success,elapsed_ms
0.2500,-0.2500,0.4000,1,5.305
0.3000,-0.2500,0.4000,1,3.386
0.3000,-0.2000,0.4000,0,8.083
0.3000,-0.1000,0.4000,1,4.360
-0.3500,-0.2000,0.4500,0,6.308
-0.3500,-0.1500,0.4500,0,7.504
-0.3000,-0.2000,0.4500,0,8.076
-0.3000,-0.1500,0.4500,0,8.326
-0.3000,-0.1000,0.4500,0,8.805
-0.3000,-0.3000,0.4500,0,8.344
-0.2500,-0.4000,0.4500,0,6.244
-0.2500,-0.3500,0.4500,0,7.770
-0.2500,-0.3000,0.4500,0,7.000
-0.2000,-0.4000,0.4500,0,6.438
-0.2000,-0.3500,0.4500,0,6.591
-0.2000,-0.3000,0.4500,0,8.214
-0.3000,-0.2500,0.4500,0,6.478
-0.2500,-0.2500,0.4500,0,7.708
-0.2500,-0.2000,0.4500,0,8.568
-0.2000,-0.2500,0.4500,0,9.364
-0.2000,-0.2000,0.4500,0,8.003
-0.1500,-0.4500,0.4500,0,7.633
-0.1500,-0.4000,0.4500,0,9.033
-0.1000,-0.4500,0.4500,0,11.242
-0.1000,-0.4000,0.4500,0,11.443
-0.1500,-0.3500,0.4500,0,8.106
-0.1500,-0.3000,0.4500,0,6.619
-0.1000,-0.3500,0.4500,0,6.573
-0.1000,-0.3000,0.4500,0,7.794
-0.1500,-0.2500,0.4500,0,8.724
-0.1500,-0.2000,0.4500,0,13.757
-0.1000,-0.2500,0.4500,0,8.590
-0.2000,-0.0500,0.4500,0,7.723
-0.1500,0.0000,0.4500,0,6.931
-0.0500,-0.5000,0.4500,0,8.588
-0.0500,-0.4500,0.4500,0,9.107
-0.0500,-0.4000,0.4500,0,10.518
0.0500,-0.5000,0.4500,1,4.110
0.0500,-0.4500,0.4500,1,3.038
0.0500,-0.4000,0.4500,0,9.012
0.1000,-0.4000,0.4500,1,8.401
0.0500,-0.3000,0.4500,1,3.371
0.0000,-0.2000,0.4500,0,8.751
0.0500,-0.2000,0.4500,0,11.793
0.1000,-0.2500,0.4500,0,8.740
0.1000,-0.2000,0.4500,0,11.049
0.1500,-0.4500,0.4500,1,9.014
0.1500,-0.4000,0.4500,0,8.046
0.2000,-0.4000,0.4500,1,5.518
0.3000,-0.3000,0.4500,0,6.692
0.2500,-0.2500,0.4500,1,3.038
0.3000,-0.2500,0.4500,1,6.433
0.3000,-0.1500,0.4500,1,3.337
0.3500,-0.2000,0.4500,1,2.601
0.3500,-0.1500,0.4500,0,8.250
0.3500,-0.1000,0.4500,1,2.536
-0.3500,-0.3000,0.5000,0,6.569
-0.3000,-0.3500,0.5000,0,9.305
-0.3000,-0.3000,0.5000,0,7.168
-0.3500,-0.2500,0.5000,0,6.487
-0.3500,-0.2000,0.5000,0,6.782
-0.3000,-0.2500,0.5000,0,7.921
-0.3000,-0.2000,0.5000,0,6.253
-0.3500,-0.1500,0.5000,0,8.023
-0.3500,-0.1000,0.5000,0,7.059
-0.3000,-0.1500,0.5000,0,7.189
-0.3000,-0.1000,0.5000,0,6.772
-0.3500,-0.0500,0.5000,0,6.442
-0.3000,-0.0500,0.5000,0,7.772
-0.2500,-0.4500,0.5000,0,6.792
-0.2500,-0.4000,0.5000,0,7.698
-0.2000,-0.4500,0.5000,0,6.495
-0.2000,-0.4000,0.5000,0,7.567
-0.2500,-0.3000,0.5000,0,143.387
-0.2000,-0.3500,0.5000,0,10.446
-0.2000,-0.3000,0.5000,0,8.916
-0.2500,-0.2500,0.5000,0,7.656
-0.2000,-0.2500,0.5000,0,6.190
-0.2000,-0.2000,0.5000,0,9.198
-0.2500,-0.1500,0.5000,0,6.687
-0.2500,-0.1000,0.5000,0,6.218
-0.2000,-0.1500,0.5000,0,8.282
-0.2000,-0.1000,0.5000,0,8.441
-0.2500,-0.0500,0.5000,0,8.994
-0.2000,-0.0500,0.5000,0,7.702
-0.2000,0.0000,0.5000,0,11.193
-0.1500,-0.5000,0.5000,0,8.535
-0.1500,-0.4500,0.5000,0,6.380
-0.1500,-0.4000,0.5000,0,7.569
-0.1000,-0.5000,0.5000,0,10.024
-0.1000,-0.4500,0.5000,0,8.057
-0.1000,-0.4000,0.5000,0,6.225
-0.1500,-0.3500,0.5000,0,7.891
-0.1500,-0.3000,0.5000,0,7.666
-0.1000,-0.3500,0.5000,0,10.943
-0.1000,-0.3000,0.5000,0,6.436
-0.1500,-0.2500,0.5000,0,7.780
-0.1500,-0.2000,0.5000,0,8.667
-0.1000,-0.2500,0.5000,0,6.893
-0.1000,-0.2000,0.5000,0,9.031
-0.1500,-0.1500,0.5000,0,6.410
-0.1500,-0.1000,0.5000,0,6.416
-0.1000,-0.1000,0.5000,0,11.073
-0.1500,-0.0500,0.5000,0,6.956
-0.1500,0.0000,0.5000,0,8.200
-0.1000,-0.0500,0.5000,0,6.717
-0.0500,-0.5000,0.5000,0,8.861
-0.0500,-0.4500,0.5000,0,6.986
-0.0500,-0.4000,0.5000,0,12.517
0.0000,-0.4500,0.5000,0,12.298
0.0000,-0.4000,0.5000,0,8.869
-0.0500,-0.3500,0.5000,0,8.515
-0.0500,-0.3000,0.5000,0,12.169
0.0000,-0.3500,0.5000,0,8.938
-0.0500,-0.2500,0.5000,0,8.179
0.0500,-0.5000,0.5000,1,2.581
0.0500,-0.4500,0.5000,1,1.827
0.0500,-0.4000,0.5000,1,2.586
0.1000,-0.5000,0.5000,1,2.540
0.1000,-0.4500,0.5000,1,2.176
0.1000,-0.4000,0.5000,0,7.578
0.0500,-0.3500,0.5000,1,4.385
0.0500,-0.3000,0.5000,1,6.809
0.1000,-0.3500,0.5000,0,7.632
0.1000,-0.3000,0.5000,1,4.185
0.1000,-0.2500,0.5000,1,3.998
0.1500,-0.5000,0.5000,1,2.521
0.1500,-0.4000,0.5000,1,2.342
0.2000,-0.4500,0.5000,1,2.777
0.2000,-0.4000,0.5000,0,7.235
0.1500,-0.3500,0.5000,1,2.275
0.1500,-0.3000,0.5000,0,10.630
0.2000,-0.3500,0.5000,0,6.650
0.2000,-0.3000,0.5000,1,8.992
0.1500,-0.2500,0.5000,0,10.177
0.1500,-0.2000,0.5000,1,4.942
0.2000,-0.2500,0.5000,0,7.294
0.2000,-0.2000,0.5000,0,8.353
0.1500,-0.1500,0.5000,0,9.542
0.1500,-0.1000,0.5000,0,9.819
0.2000,-0.1500,0.5000,0,13.277
0.2000,-0.1000,0.5000,0,10.686
0.2500,-0.3500,0.5000,0,7.472
0.2500,-0.3000,0.5000,0,8.549
