t,x,y,z,success,ik_ms,total_ms,dx,dy,dz
1777894649.9360013,0.22288878158606895,-0.16803176461442298,0.48999620309259745,1,2.4809837341308594,2.895832061767578,0.006888781587526094,-0.014532572716380615,0.011995859646436124
1777894649.985594,0.2254109901561677,-0.1707102626581448,0.4923437140766595,1,2.626657485961914,2.9468536376953125,0.009410990157624838,-0.01721107076010242,0.014343370630498176
1777894650.034869,0.23102299000493481,-0.17720377642547866,0.49792849855143,1,1.9321441650390625,2.244234085083008,0.015022990006391956,-0.02370458452743629,0.019928155105268686
1777894650.085407,0.23416783703254157,-0.18064827389403243,0.5007659596101601,1,1.8808841705322266,2.5713443756103516,0.018167837033998713,-0.02714908199599006,0.022765616163998748
1777894650.1350083,0.23713505056974804,-0.18405165659092995,0.5040171279832305,1,1.848459243774414,2.187013626098633,0.021135050571205183,-0.030552464692887582,0.026016784537069182
1777894650.1853387,0.23981414834441583,-0.1871742670949374,0.5074727705512279,1,2.0918846130371094,2.5250911712646484,0.023814148345872976,-0.03367507519689503,0.029472427105066534
1777894650.235561,0.24635624856661156,-0.19412530208361264,0.5159951422701888,1,2.248048782348633,2.659320831298828,0.030356248568068706,-0.040626110185570274,0.03799479882402754
1777894650.2850835,0.2501170460766778,-0.1974335494572592,0.5203212619481415,1,1.8072128295898438,2.107381820678711,0.03411704607813493,-0.04393435755921682,0.04232091850198022
1777894650.335247,0.2541139537882221,-0.20017331273128217,0.5245733202828702,1,1.8963813781738281,2.205371856689453,0.038113953789679245,-0.046674120833239796,0.0465729768367088
1777894650.3857815,0.25812954093148255,-0.20189896324243936,0.5281391721517037,1,2.1936893463134766,2.542257308959961,0.04212954093293966,-0.04839977134439699,0.050138828705542426
1777894650.4363348,0.2670016875319242,-0.20283593761338928,0.535091699452945,1,2.653837203979492,3.027677536010742,0.051001687533381385,-0.04933674571534691,0.057091356006783694
1777894650.4859293,0.27158238793908435,-0.2016901490506315,0.5383971363051887,1,2.263307571411133,2.5701522827148438,0.05558238794054149,-0.04819095715258914,0.06039679285902738
1777894650.5360155,0.27630027454275585,-0.19953430441792527,0.541598111317594,1,2.234935760498047,2.588510513305664,0.060300274544212995,-0.046035112519882904,0.06359776787143273
1777894650.5863767,0.28094264941918135,-0.1961739741525849,0.5446144565391747,1,2.496480941772461,2.845287322998047,0.06494264942063849,-0.04267478225454252,0.0666141130930134
1777894650.636161,0.2889984664410241,-0.18680736375286036,0.5501223514939181,1,2.2766590118408203,2.570629119873047,0.07299846644248126,-0.03330817185481799,0.07212200804775679
1777894650.6866074,0.2922878385739224,-0.18120407603232153,0.5524289116286956,1,2.5682449340820312,2.9344558715820312,0.07628783857537955,-0.027704884134279156,0.0744285681825343
1777894650.7363067,0.29540409050168603,-0.17494253939134166,0.5546606336469462,1,2.213001251220703,2.5572776794433594,0.07940409050314318,-0.021443347493299292,0.07666029020078484
1777894650.7869194,0.3,-0.16201212300073192,0.558559583158726,1,2.273082733154297,2.7697086334228516,0.0848445055378736,-0.008512931102689553,0.08055923971256465
