t,x,y,z,success,ik_ms,total_ms,dx,dy,dz
1777948198.0671837,0.16535060829959677,-0.13415123563552664,0.49801623823496033,1,16.79372787475586,17.062902450561523,-0.050649391698946084,0.01934795626251573,0.020015894788799032
1777948198.1321685,0.1617924625303665,-0.13747855310192564,0.49583551053587965,1,31.63886070251465,31.814098358154297,-0.05420753746817636,0.016020638796116732,0.01783516708971833
1777948198.1826522,0.15708618524244738,-0.1429409357271124,0.4929817505384115,1,28.950929641723633,29.157161712646484,-0.05891381475609549,0.01055825617092998,0.014981407092250154
1777948198.2307763,0.15586566123505494,-0.14519540465573091,0.4924009470284346,1,27.11939811706543,27.347087860107422,-0.06013433876348792,0.008303787242311456,0.014400603582273325
1777948198.2796798,0.15520575117908272,-0.14750348977244604,0.4923034198920535,1,25.895118713378906,26.117801666259766,-0.060794248819460134,0.0059957021255963305,0.01430307644589221
1777948198.3226032,0.15502137629450805,-0.14988733545643323,0.4925837325733195,1,18.70417594909668,18.889665603637695,-0.06097862370403481,0.0036118564416091348,0.014583389127158175
1777948198.374229,0.15580360367474225,-0.15539252479284435,0.4940040853310379,1,19.063949584960938,19.268035888671875,-0.06019639632380061,-0.00189333289480198,0.016003741884876604
1777948198.4474418,0.15660412311481992,-0.15854995190000712,0.49483096937527926,1,41.757822036743164,41.99385643005371,-0.05939587688372293,-0.005050760001964749,0.016830625929117937
1777948198.4772909,0.15737349754923738,-0.16202930390411496,0.4956072582146154,1,21.50273323059082,21.79718017578125,-0.05862650244930548,-0.008530112006072593,0.01760691476845405
1777948198.5292757,0.15796986864921211,-0.1651769782701744,0.4963033711840603,1,23.372411727905273,23.546695709228516,-0.058030131349330744,-0.011677786372132043,0.01830302773789899
1777948198.5889347,0.15898037790342362,-0.1719915769323547,0.49840437104622076,1,32.89532661437988,33.14971923828125,-0.05701962209511924,-0.01849238503431233,0.020404027600059438
1777948198.6305504,0.15969732867325498,-0.17553276856483102,0.49951383433004143,1,24.3833065032959,24.56521987915039,-0.05630267132528788,-0.02203357666678865,0.021513490883880104
1777948198.6754062,0.16058329221829892,-0.178887817944032,0.5004523072259286,1,19.188880920410156,19.397974014282227,-0.05541670778024395,-0.025388626045989626,0.022451963779767298
1777948198.7286074,0.1617898325578106,-0.18212169288184357,0.5012303103097416,1,22.178173065185547,22.463083267211914,-0.054210167440732274,-0.028622500983801202,0.02322996686358028
1777948198.77691,0.16461327465056325,-0.18879691229846693,0.5027489283224518,1,20.44057846069336,20.599365234375,-0.051386725347979625,-0.03529772040042456,0.024748584876290447
1777948198.828172,0.16643485997508412,-0.19221038262399073,0.5038708264072769,1,21.410226821899414,21.600961685180664,-0.04956514002345873,-0.03871119072594836,0.025870482961115604
1777948198.8816168,0.16837983717275867,-0.19535765427828314,0.5050284836087575,1,24.796485900878906,24.9941349029541,-0.047620162825784185,-0.04185846238024077,0.02702814016259622
1777948198.9332814,0.17072745986704446,-0.19876573152473717,0.5061273142298848,1,26.329517364501953,26.580333709716797,-0.045272540131498396,-0.0452665396266948,0.028126970783723504
1777948198.9896758,0.17660713946281031,-0.206368982280591,0.5079909432467786,1,32.5169563293457,32.889604568481445,-0.03939286053573254,-0.05286979038254863,0.02999059980061733
1777948199.0288363,0.18046054279851065,-0.21059253030055733,0.5090006123172883,1,21.784543991088867,21.960973739624023,-0.03553945720003222,-0.05709333840251496,0.031000268871126974
1777948199.077868,0.18472173513709783,-0.21462873714260977,0.5099447333592136,1,20.720958709716797,20.919322967529297,-0.031278264861445026,-0.0611295452445674,0.03194438991305232
1777948199.1383302,0.1894187374644274,-0.21848560293113492,0.510912803219928,1,30.98273277282715,31.317949295043945,-0.026581262534115482,-0.06498641103309255,0.03291245977376672
1777948199.1781018,0.19905855126343663,-0.22517095724335479,0.5136782695693111,1,20.864486694335938,21.02494239807129,-0.016941448735106224,-0.07167176534531242,0.03567792612314971
1777948199.2215774,0.2041227729315634,-0.22802108287645273,0.5156419127258318,1,13.928651809692383,14.096260070800781,-0.011877227066979468,-0.07452189097841036,0.03764156927967052
1777948199.2913783,0.20892859589347493,-0.23035018918210476,0.5178571300253882,1,33.58721733093262,33.77676010131836,-0.00707140410506793,-0.07685099728406239,0.03985678657922695
1777948199.3297658,0.21444567514360452,-0.23227386255211777,0.5204716283563541,1,21.878719329833984,22.094249725341797,-0.0015543248549383243,-0.0787746706540754,0.04247128491019275
1777948199.3750904,0.22630105747184598,-0.2338981805048355,0.5260678765928466,1,17.002105712890625,17.1816349029541,0.010301057473303121,-0.08039898860679312,0.048067533146685215
1777948199.4249377,0.23248650007634816,-0.23340830906145912,0.5291115762708128,1,16.785144805908203,16.949176788330078,0.016486500077805305,-0.07990911716341675,0.051111232824651506
1777948199.479512,0.23852110834850473,-0.23214522747351862,0.5318565449100578,1,21.290063858032227,21.439313888549805,0.022521108349961877,-0.07864603557547625,0.0538562014638965
1777948199.5515628,0.24445736712565808,-0.2301036772152685,0.5344292860676079,1,42.66953468322754,42.97637939453125,0.02845736712711522,-0.07660448531722613,0.056428942621446515
1777948199.5785465,0.2574227805059283,-0.22462136741878266,0.5393230389372525,1,19.654035568237305,19.916057586669922,0.04142278050738546,-0.0711221755207403,0.06132269549109125
1777948199.624967,0.26253205527813994,-0.22196157185827592,0.5411343444256508,1,16.074657440185547,16.239643096923828,0.04653205527959711,-0.06846237996023355,0.0631340009794895
1777948199.685062,0.2672668117873567,-0.21902884078568902,0.5427292907429963,1,26.06987953186035,26.252269744873047,0.05126681178881384,-0.06552964888764665,0.06472894729683493
1777948199.7346435,0.2744258415897663,-0.21354085169806233,0.5448615207637895,1,25.55990219116211,25.774240493774414,0.05842584159122344,-0.060041659800019964,0.06686117731762811
1777948199.7746289,0.28474998905325977,-0.20236962495363395,0.5477898564175159,1,15.557289123535156,15.726566314697266,0.06874998905471691,-0.04887043305559158,0.0697895129713546
1777948199.8333874,0.28940987122969963,-0.19626367264791503,0.5490414040373316,1,24.19734001159668,24.37901496887207,0.07340987123115678,-0.04276448074987266,0.07104106059117024
1777948199.8931084,0.2927161684082733,-0.1892306827130182,0.5503011442686806,1,33.7827205657959,34.03282165527344,0.07671616840973042,-0.03573149081497584,0.0723008008225193
1777948199.9360375,0.29435314193341816,-0.18091479038029515,0.5517134239676983,1,26.661157608032227,26.888608932495117,0.0783531419348753,-0.02741559848225278,0.07371308052153695
1777948199.989736,0.2993150538020092,-0.16631214404272684,0.5542613849522791,1,30.362606048583984,30.523061752319336,0.08331505380346632,-0.012812952144684475,0.07626104150611777
1777948200.0406907,0.3,-0.15949113294521855,0.5553884927875075,1,30.893564224243164,31.071186065673828,0.08552405122171966,-0.00599194104717618,0.07738814934134616
1777948200.0816095,0.3,-0.1526751743815479,0.5563822750726564,1,21.55756950378418,21.74520492553711,0.08715258664496389,0.0008240175164944685,0.07838193162649498
1777948200.1281905,0.3,-0.14626711764330194,0.5572738807939592,1,17.371654510498047,17.58289337158203,0.08808559202463007,0.007232074254740428,0.07927353734779786
1777948200.1870217,0.3,-0.13476238629264164,0.5582989302678736,1,26.09419822692871,26.32761001586914,0.08814537247344945,0.018736805605400725,0.08029858682171229
1777948200.232747,0.3,-0.12996474919032383,0.558123000650659,1,21.69036865234375,21.996021270751953,0.08735967690450572,0.02353444270771854,0.08012265720449772
1777948200.2778325,0.3,-0.12579384502044857,0.5573038494605158,1,16.734838485717773,16.962766647338867,0.08607444945822137,0.027705346877593795,0.07930350601435443
1777948200.3339896,0.3,-0.12237050342941308,0.5561097113011938,1,22.797584533691406,23.0410099029541,0.08435546579448555,0.03112868846862929,0.0781093678550325
1777948200.3892796,0.29540575526670276,-0.11720628468272297,0.5530746572443289,1,28.01656723022461,28.260231018066406,0.0794057552681599,0.0362929072153194,0.07507431379816755
1777948200.4338505,0.29198178018287524,-0.11541915247525251,0.5513647588867845,1,22.43804931640625,22.62568473815918,0.07598178018433238,0.038080039422789855,0.07336441544062317
